,Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Fwd Packets Length Total,Bwd Packets Length Total,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Avg Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init Fwd Win Bytes,Init Bwd Win Bytes,Fwd Act Data Packets,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
Protocol,1.0,-0.5025341053482975,-0.002395949777529658,-0.04368190741978785,0.0519091241396634,-0.018239154769895405,0.39402244800895264,0.5925853439354138,0.5895859628490722,-0.17505074286121056,-0.21607575920256114,0.13615923912837255,-0.17570519796905093,-0.2513716190690248,0.2333196623135178,0.17378612616468708,-0.4662680280292967,-0.4969207403335757,-0.47697767878182246,-0.011741119610128638,-0.49745818905826134,-0.5002833877436599,-0.49579816208880506,-0.4710160760135556,-0.010285586870604107,-0.3081213687598619,-0.3059547032272581,-0.31479555784640445,-0.3143172736968256,-0.14872676543054647,-0.27173750713013034,,,,-0.03039150247208917,-0.018536850519050237,0.17911984722791258,-0.0825082962107495,0.5959840921055901,0.15149246624158805,0.5654252974046217,-0.21538092232849515,-0.11957990397680446,,-0.03830527823775107,-0.27173750713013034,,-0.6976087169552418,-0.5248150819757457,-0.341738363242226,,-0.2995699641736729,0.5241044810461107,0.5895859628490722,-0.17570519796905093,,,,,,,-0.002395949777529658,0.0519091241396634,-0.04368190741978785,-0.018239154769895405,-0.46715924516033414,-0.21977956121496064,0.06318211498396702,-0.11682047622544521,-0.12662631165523977,-0.14893403028460475,-0.1649074953142068,-0.07660922435918781,-0.46062502602085725,-0.3509257093322627,-0.4849069493014746,-0.41491787371513555
Flow Duration,-0.5025341053482975,1.0,0.01005430320864566,0.06806736295833368,-0.023285931970622193,0.02370036831987804,-0.08485535973878411,-0.2950450084745811,-0.2867293006062402,0.20037063914966566,0.27033855430186016,-0.07878749940864432,0.1695863390459736,0.2651101040786799,-0.12987057419863499,-0.16601346649372611,0.6575272549218584,0.7626886833424806,0.8582238731632286,0.019872163392950604,0.9988705498589048,0.7448177238238148,0.7974767670417626,0.8580072391175532,0.020303313936409096,0.7816188862137943,0.5557448604121416,0.6232929445453065,0.7003541187005707,0.001070083216153484,0.005254334112864301,,,,0.015391397852191947,0.008245241130720359,-0.1649278951260492,-0.024326667187832853,-0.29496681774227335,0.07014146394677792,-0.262982094532793,0.22774866427432056,0.09931117613758035,,-0.011108276178499576,0.005254334112864301,,0.6121614192762774,-0.07984422860095873,-0.09844112207338447,,-0.08431712899491527,-0.25259692459765537,-0.2867293006062402,0.1695863390459736,,,,,,,0.01005430320864566,-0.023285931970622193,0.06806736295833368,0.02370036831987804,0.2768886478295829,-0.01102895752378236,0.01597446915593893,0.054960136171528076,0.20384212160494236,0.3124418865052596,0.3117751208461104,0.08650066788997457,0.8281809431666105,0.5475193765686477,0.8591885767652542,0.7625162041908319
Total Fwd Packets,-0.002395949777529658,0.01005430320864566,1.0,0.17336120494412396,0.07643628412214984,0.16773032578078953,0.021401618148143967,-0.00249287467820966,0.0016183701063363007,0.012685092345130008,0.020996224732172362,-0.010616270367238417,0.02325082055443589,0.01749054053194784,-0.01126044008942947,-0.013265468274542344,-0.007525035828044395,-0.004643157526086868,0.005128210099053298,-0.0007299788926049289,0.010110025752977411,-0.006250198968827659,-0.003008704622848584,0.005265721113681919,-0.0006823464439214405,0.014169800669609238,8.395669422892365e-05,0.00252846573948039,0.010095576504608484,-0.006457962151586364,-0.005020313143687438,,,,-0.007363774524848335,-0.0006305163747713809,-0.013148946661691042,-0.0024407836915314846,-0.0024215091110670922,0.02675608005814493,0.006847328827375523,0.022607495504075436,0.01978789473868185,,-0.0010720448087155928,-0.005020313143687438,,-0.001340505826161133,-0.01275661559062616,-0.010491443786408886,,-0.011855044341464702,-0.002149861938092538,0.0016183701063363007,0.02325082055443589,,,,,,,1.0,0.07643628412214984,0.17336120494412396,0.16773032578078953,0.0016442629226067775,-0.004040764693443626,0.19935490936185965,0.003793104383897457,0.006606049736537105,0.008081566305872555,0.009031893732322847,0.003650297355732611,0.0071447735979291585,-0.0008585755253020852,0.006166246609589073,0.007921417549615263
Total Backward Packets,-0.04368190741978785,0.06806736295833368,0.17336120494412396,1.0,0.04543100371088593,0.9873351704406307,0.04348510397991329,-0.03003368271374812,-0.023227759010826188,0.06221405697013971,0.17447387488425406,-0.001221643724936478,0.1776045566624973,0.12817039329834592,-0.012008777612555128,-0.01524534457282596,0.0002491544632249799,0.016721211800752776,0.06343862569444096,-0.0007690959994491422,0.06744276069523238,0.007334797497691294,0.023883813487909113,0.06299419469570479,-0.0007317660169164968,0.0890611691494779,0.018488521498191322,0.031037403808372863,0.07203410116432511,0.0005292592470137766,0.004004758083104238,,,,0.0014047806902755776,-0.005384764783156073,-0.015267395481995853,-0.0002023397795969263,-0.030112884979081597,0.14279966857993195,0.016855202726277014,0.15237565937954428,0.1520250149429101,,-0.0006271849692643664,0.004004758083104238,,0.05206053919187064,7.676129770904609e-05,-0.0030887720784524724,,0.03247324189418414,0.004708529712667411,-0.023227759010826188,0.1776045566624973,,,,,,,0.17336120494412396,0.04543100371088593,1.0,0.9873351704406307,0.05798207226223363,0.007756487344511087,0.8008382390028439,0.005434540759623643,0.0461895124714217,0.0459526782237533,0.05511312068377106,0.030659223020908566,0.06591708863913563,0.017066558247263018,0.06199145784184773,0.06758040679805116
Fwd Packets Length Total,0.0519091241396634,-0.023285931970622193,0.07643628412214984,0.04543100371088593,1.0,0.006792878067852023,0.27830921873791425,0.031120227426426932,0.06646511906012766,0.09083489667542947,0.002045190294566891,-0.026943815042028148,-0.0061626552860674306,0.0013338014774169763,-0.012790795130500424,-0.019496858117859797,-0.036515655520913654,-0.03527816908170007,-0.02568562384102376,-0.0016627228378583777,-0.023007439469600856,-0.03700653305807598,-0.033526981208179374,-0.025331807512576212,-0.0015588692813397595,-0.005667444899561194,-0.018665659895150233,-0.016788056864335526,-0.011300236239012044,-0.018404280927918803,-0.01626948200620118,,,,-0.022480512927724326,0.001907338129318056,-0.019197888104211244,-0.005718615264622341,0.031233263668984,0.18561348199885144,0.06048736687232124,0.054924316012907815,0.0762328363301767,,-0.002693309664536547,-0.01626948200620118,,-0.039421485578553565,-0.02421804616456821,-0.02400642574699211,,-0.03762216374524695,0.03196388783043205,0.06646511906012766,-0.0061626552860674306,,,,,,,0.07643628412214984,1.0,0.04543100371088593,0.006792878067852023,-0.02299372153289001,-0.0038612193859698064,0.40434738309740914,0.004824715652725141,-0.001660690537008324,-0.001578689677887288,-0.0013005173200523895,-0.0016269132116353128,-0.021020423035094202,-0.021186624865592914,-0.02333057570451088,-0.017717012282037554
Bwd Packets Length Total,-0.018239154769895405,0.02370036831987804,0.16773032578078953,0.9873351704406307,0.006792878067852023,1.0,0.018664760767722353,-0.01137458536804287,-0.010088609642577321,0.019312667909463326,0.18477306041309244,-0.0026010455292147954,0.16104671138235266,0.11113839648813482,-0.004438602014831651,-0.005716126365059503,-0.0045542257645937514,0.00045156627954696433,0.026103346055102727,-0.0002941359510829254,0.02344864445625783,-0.0035359610912420914,0.0029959308116565774,0.025971575937253594,-0.00027932037461142516,0.03060581237606212,-0.0006336315016094145,0.004116853467517912,0.026379592165217586,-0.0014625989301590033,-0.0006172137257115982,,,,0.0005659245097416883,-9.965370961102015e-05,-0.005710386729092963,-0.0003096234763627457,-0.011376016819734274,0.15298172935941481,0.03185564472347742,0.1326485982723461,0.21546439278137253,,-0.0003726352768223771,-0.0006172137257115982,,0.024834824684278733,-0.0036456522943809936,-0.002935077488995616,,0.0209948024403956,0.01930786774804251,-0.010088609642577321,0.16104671138235266,,,,,,,0.1677303257807895,0.006792878067852023,0.9873351704406309,1.0,0.03841893084718907,0.00029282410399417104,0.7715853453290963,0.0021764596552744406,0.022500360230874306,0.016652155408189505,0.023697924672116063,0.01806510595363707,0.025640184469603724,0.0005622462466453552,0.022584506745957578,0.027787105229403024
Fwd Packet Length Max,0.39402244800895264,-0.08485535973878411,0.021401618148143967,0.04348510397991329,0.27830921873791425,0.018664760767722353,1.0,0.7614405486240601,0.8423089447104875,0.46135764255534883,0.20831857807458207,-0.20805197317465002,0.12582468441956052,0.23414641497736344,0.5391548452414212,0.33584498433610416,-0.26083525898607923,-0.2166155370927971,-0.10354830908643749,-0.00925804786228293,-0.08367637609485262,-0.2582291915931793,-0.19253172430612855,-0.10212687616533433,-0.008259053877633676,0.09184767295228755,-0.12543484068133523,-0.08320634081764432,0.0025027164931387203,-0.14954278097257143,-0.09583869101362175,,,,-0.015412525325356455,0.01960041728526012,0.33970751972299174,-0.0518944045183149,0.7579424854675805,0.7360494966782756,0.8444452553459266,0.31428875519497235,0.16992708002739165,,-0.02437205254769131,-0.09583869101362175,,-0.22978474310000482,-0.26395306752571435,-0.21307534219307306,,-0.28536271207555736,0.8231289024743753,0.8423089447104875,0.12582468441956052,,,,,,,0.021401618148143967,0.27830921873791425,0.04348510397991329,0.018664760767722353,-0.07201690286839911,-0.05748660239108947,0.11974136157357824,-0.08767398890511252,0.006513665310390959,-0.004078005588244351,0.00273467093164364,0.007255571102098877,-0.08081131788999237,-0.1698547783525047,-0.11017870212218345,-0.046804037316779394
Fwd Packet Length Min,0.5925853439354138,-0.2950450084745811,-0.00249287467820966,-0.03003368271374812,0.031120227426426932,-0.01137458536804287,0.7614405486240601,1.0,0.9801736613867096,-0.15455411572674893,-0.1527992603393816,-0.2072122307845059,-0.18282386905735348,-0.15436840837078397,0.6825019409610446,0.4541924292545786,-0.2688656242738566,-0.28862178195571425,-0.2827261479878863,-0.0068998233757123426,-0.2917795223719276,-0.29258715580877465,-0.2898079173504242,-0.27872151824428115,-0.006013072542631023,-0.19005642336096404,-0.18781683268096816,-0.19361877982946143,-0.1941156406750437,-0.1583016893061976,-0.15742493552511677,,,,-0.02125435427534846,0.01836035001450771,0.458170791335455,-0.04939996073516819,0.9965458047752733,0.4353767494326838,0.9570024112176868,-0.176829451424544,-0.06953380637933024,,-0.023184846327948427,-0.15742493552511677,,-0.4236574896799222,-0.31457322692280576,-0.20242493364427927,,-0.3405943195546642,0.9675189573105631,0.9801736613867096,-0.18282386905735348,,,,,,,-0.002492874678209658,0.031120227426426932,-0.03003368271374812,-0.01137458536804287,-0.2828818001819158,-0.13027418814261546,0.01830570566165899,-0.12353646416158867,-0.08223764703714123,-0.09087765538896388,-0.10267721023783807,-0.05193382355249605,-0.27879254050395014,-0.2108544819284493,-0.29311857567610167,-0.25165949266286713
Fwd Packet Length Mean,0.5895859628490722,-0.2867293006062402,0.0016183701063363007,-0.023227759010826188,0.06646511906012766,-0.010088609642577321,0.8423089447104875,0.9801736613867096,1.0,0.007122327024083082,-0.09860203547221169,-0.21864203734725382,-0.1394128603783458,-0.09218111497328373,0.6711790438401571,0.4398558457115196,-0.29196385132054803,-0.30202045925045695,-0.2779944809131408,-0.008297460808812992,-0.2837212430967761,-0.3125233831953993,-0.2988864575081559,-0.2743573163907798,-0.0072947927753908475,-0.16143645236425055,-0.19151077627354265,-0.18993271127033615,-0.17828152266374162,-0.16734720853732493,-0.14013286276067885,,,,-0.022330988028328606,0.020025156464165347,0.44405794802406734,-0.05367008883082658,0.9763857557701697,0.5094602646552255,0.9766129540407469,-0.0692568801513816,-0.02226842618660754,,-0.025193576389528592,-0.14013286276067885,,-0.4181099302189489,-0.3152098419360659,-0.21989317704016287,,-0.3566745468970052,0.9754290756214136,1.0,-0.1394128603783458,,,,,,,0.0016183701063362992,0.06646511906012766,-0.023227759010826184,-0.01008860964257732,-0.2592316519326866,-0.12158567371906935,0.03938596100343704,-0.1187445521641194,-0.07071474640844959,-0.08097873263311249,-0.08885559956734643,-0.04370230105400073,-0.2690067293470723,-0.2207727401305872,-0.28687944079321365,-0.2386554243704016
Fwd Packet Length Std,-0.17505074286121056,0.20037063914966566,0.012685092345130008,0.06221405697013971,0.09083489667542947,0.019312667909463326,0.46135764255534883,-0.15455411572674893,0.007122327024083082,1.0,0.48516595941661755,-0.03953350974246084,0.40448434289171964,0.5416092789391574,-0.07563116873996498,-0.08160010352097406,-0.06553666902746393,0.01816664208622028,0.15695630850082354,-0.005846329399978932,0.1975752520874059,-0.03362124675653737,0.05241593156526768,0.1534001242557237,-0.005303445920629832,0.3265944995784886,0.04038013521815891,0.10195194545328876,0.20507975797031708,-0.02332291534977763,0.11083778236591887,,,,0.0063230381561019035,0.006912199365189404,-0.08076564133487511,-0.01697823584597623,-0.15570265789815105,0.4986089746809036,0.03076804662822972,0.7352949882822465,0.33923435563591114,,-0.00800909751487302,0.11083778236591887,,0.18654339367358735,0.03192502078564121,-0.06984835900269672,,-0.01169555143986767,-0.01309417423153832,0.007122327024083076,0.40448434289171964,,,,,,,0.012685092345130006,0.09083489667542947,0.06221405697013971,0.019312667909463326,0.2680789315028403,0.09688817250491016,0.04888197227621034,0.02827474370122298,0.10363117096849903,0.09555218990608809,0.12443172456296853,0.07236820900642442,0.1851599155577677,-0.005196365147445717,0.16085620388899635,0.201871753919134
