file,records,columns,missing_values,infinite_values,duplicate_rows
DNS-testing.parquet,6703,78,0,0,0
LDAP-testing.parquet,2831,78,0,0,0
LDAP-training.parquet,6715,78,0,0,0
MSSQL-testing.parquet,8083,78,0,0,0
MSSQL-training.parquet,10974,78,0,0,0
NTP-testing.parquet,134674,78,0,0,0
NetBIOS-testing.parquet,2225,78,0,0,0
NetBIOS-training.parquet,1631,78,0,0,0
Portmap-training.parquet,5105,78,0,0,0
SNMP-testing.parquet,4018,78,0,0,0
Syn-testing.parquet,907,78,0,0,0
Syn-training.parquet,70336,78,0,0,0
TFTP-testing.parquet,121833,78,0,0,0
UDP-testing.parquet,12462,78,0,0,0
UDP-training.parquet,17770,78,0,0,0
UDPLag-testing.parquet,12465,78,0,0,0
UDPLag-training.parquet,12639,78,0,0,0
