feature,count,missing,infinite,mean,std,min,median_sample,max,skew_sample,abs_skew,high_skew
Protocol,431371,0,0,13.948693815764157,4.966705995715883,0.0,17.0,17.0,-2.7646573385648097,2.7646573385648097,True
Flow Duration,431371,0,0,8404855.91447733,21265935.435467906,1.0,752.0,119998742.0,11.681155381813744,11.681155381813744,True
Total Fwd Packets,431371,0,0,24.139116908647082,195.8886690827794,1.0,16.0,86666.0,211.74744952818693,211.74744952818693,True
Total Backward Packets,431371,0,0,2.4720206040739874,56.37014282786021,0.0,0.0,31700.0,128.5255179375391,128.5255179375391,True
Fwd Packets Length Total,431371,0,0,9416.956462070932,34452.49471224171,0.0,6752.0,15266416.0,177.57489479722108,177.57489479722108,True
Bwd Packets Length Total,431371,0,0,1632.8956559434919,106405.52038100133,0.0,0.0,58429504.0,149.5164076838013,149.5164076838013,True
Fwd Packet Length Max,431371,0,0,357.4836741459208,320.0255576261754,0.0,440.0,32120.0,13.418878265958835,13.418878265958835,True
Fwd Packet Length Min,431371,0,0,294.72164563681844,273.29838840221925,0.0,440.0,2131.0,1.7402212190675685,1.7402212190675685,False
Fwd Packet Length Mean,431371,0,0,324.9153271353898,268.57700131968375,0.0,440.0,3015.29052734375,1.8221676891476413,1.8221676891476413,False
Fwd Packet Length Std,431371,0,0,20.208259024667356,70.94600286052776,0.0,0.0,2221.55615234375,8.438481907326945,8.438481907326945,True
Bwd Packet Length Max,431371,0,0,79.5795382628874,490.6923200078295,0.0,0.0,37960.0,28.119756879804857,28.119756879804857,True
Bwd Packet Length Min,431371,0,0,8.72727883886492,32.01543078921232,0.0,0.0,1460.0,14.209808919311335,14.209808919311335,True
Bwd Packet Length Mean,431371,0,0,25.94426151054561,125.56211718787601,0.0,0.0,5011.06005859375,12.242387426335759,12.242387426335759,True
Bwd Packet Length Std,431371,0,0,21.049309626402838,128.45346941745615,0.0,0.0,7045.09521484375,9.61288511800799,9.61288511800799,True
Flow Bytes/s,431371,0,0,73737608.45782772,332347976.6450604,0.0,19510204.08163265,2944000000.0,3.2033586212026557,3.2033586212026557,True
Flow Packets/s,431371,0,0,126688.79402111252,414284.4935320478,0.0339203294396667,43303.69188347169,4000000.0,1.9493274623492884,1.9493274623492884,False
Flow IAT Mean,431371,0,0,799873.324033516,1603961.656550085,0.3333333432674408,26.618135452270508,51199892.0,19.50410428432916,19.50410428432916,True
Flow IAT Std,431371,0,0,1413244.8103162597,2799865.9251797297,0.0,34.946598052978516,68082928.0,15.165789010115454,15.165789010115454,True
Flow IAT Max,431371,0,0,3740800.1070377934,8985088.009019265,1.0,151.0,119954416.0,13.343755505719843,13.343755505719843,True
Flow IAT Min,431371,0,0,4322.362391074041,238726.72744497325,0.0,0.0,51199892.0,77.73385859168552,77.73385859168552,True
Fwd IAT Total,431371,0,0,8329522.407002325,21258441.712583918,0.0,513.0,119998744.0,11.794253561920193,11.794253561920193,True
Fwd IAT Mean,431371,0,0,976245.5380507513,1994979.5861633786,0.0,18.130151748657227,51199892.0,15.90256601696478,15.90256601696478,True
Fwd IAT Std,431371,0,0,1540342.3828980213,3177542.1948356484,0.0,22.485995292663574,67905824.0,14.51126755780146,14.51126755780146,True
Fwd IAT Max,431371,0,0,3698762.8689364837,8969314.197668277,0.0,98.0,119954416.0,13.427102535975983,13.427102535975983,True
Fwd IAT Min,431371,0,0,3981.4574623699787,239184.1349330127,0.0,0.0,51199892.0,77.05858695212666,77.05858695212666,True
Bwd IAT Total,431371,0,0,3682353.936272953,16331960.726992367,0.0,0.0,119943720.0,13.377061870695934,13.377061870695934,True
Bwd IAT Mean,431371,0,0,431266.54383621446,1901202.5419002648,0.0,0.0,58961592.0,23.136234616687712,23.136234616687712,True
Bwd IAT Std,431371,0,0,814155.317792925,3491246.392048039,0.0,0.0,83384280.0,18.512080221355564,18.512080221355564,True
Bwd IAT Max,431371,0,0,2054229.6331603192,8820657.325223964,0.0,0.0,117923184.0,15.20850148567195,15.20850148567195,True
Bwd IAT Min,431371,0,0,0.9539329254864143,5.205067839203461,0.0,0.0,249.0,14.030677958290385,14.030677958290385,True
Fwd PSH Flags,431371,0,0,0.02715296114017864,0.16252900615428184,0.0,0.0,1.0,6.708746431089176,6.708746431089176,True
Bwd PSH Flags,431371,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Fwd URG Flags,431371,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Bwd URG Flags,431371,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Fwd Header Length,431371,0,0,-184307400.12165397,4266883560.772462,-212543795000.0,64.0,134480904.0,-26.915259585261808,26.915259585261808,True
Bwd Header Length,431371,0,0,-1139718.7983244122,59065101.12263372,-17003494240.0,0.0,634024.0,-83.6345541961318,83.6345541961318,True
Fwd Packets/s,431371,0,0,124939.41338743453,412136.3784227014,0.008480082266032696,42877.087890625,4000000.0,1.9515697820514886,1.9515697820514886,False
Bwd Packets/s,431371,0,0,1749.380742324719,32359.68118900874,0.0,0.0,2000000.0,53.74718139802072,53.74718139802072,True
Packet Length Min,431371,0,0,294.3193399649026,272.7710892306011,0.0,440.0,1472.0,1.7379014949761047,1.7379014949761047,False
Packet Length Max,431371,0,0,407.18424743434304,529.884005916682,0.0,440.0,37960.0,16.93722271546383,16.93722271546383,True
Packet Length Mean,431371,0,0,332.878668682329,267.65856082501966,0.0,440.0,4023.9453125,1.8629048707607543,1.8629048707607543,False
Packet Length Std,431371,0,0,31.98903536124411,118.21505638039059,0.0,0.0,6616.56201171875,7.385446756775939,7.385446756775939,True
Packet Length Variance,431371,0,0,14998.097943007913,204956.22687186443,0.0,0.0,43778892.0,28.721931388206915,28.721931388206915,True
FIN Flag Count,431371,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
SYN Flag Count,431371,0,0,0.0005331837327961314,0.023084614961121033,0.0,0.0,1.0,48.19389489185012,48.19389489185012,True
RST Flag Count,431371,0,0,0.02715296114017864,0.16252900615428184,0.0,0.0,1.0,6.708746431089176,6.708746431089176,True
PSH Flag Count,431371,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
ACK Flag Count,431371,0,0,0.17640963347095656,0.3811683023148689,0.0,0.0,1.0,6.343509052359773,6.343509052359773,True
URG Flag Count,431371,0,0,0.09490670443771139,0.2930860315512909,0.0,0.0,1.0,3.2920578424311366,3.2920578424311366,True
CWE Flag Count,431371,0,0,0.04864722014229051,0.21512942177842165,0.0,0.0,1.0,5.986011896287152,5.986011896287152,True
ECE Flag Count,431371,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Down/Up Ratio,431371,0,0,0.24412164934592265,0.6343968197994149,0.0,0.0,23.0,5.570202284643415,5.570202284643415,True
Avg Packet Size,431371,0,0,397.7823672058415,362.5189556041702,0.0,444.8888854980469,4025.778564453125,2.3589138523542417,2.3589138523542417,True
Avg Fwd Segment Size,431371,0,0,324.9153271353898,268.57700131968375,0.0,440.0,3015.29052734375,1.8221676891476413,1.8221676891476413,False
Avg Bwd Segment Size,431371,0,0,25.94426151054561,125.56211718787601,0.0,0.0,5011.06005859375,12.242387426335759,12.242387426335759,True
Fwd Avg Bytes/Bulk,431371,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Fwd Avg Packets/Bulk,431371,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Fwd Avg Bulk Rate,431371,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Bwd Avg Bytes/Bulk,431371,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Bwd Avg Packets/Bulk,431371,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Bwd Avg Bulk Rate,431371,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Subflow Fwd Packets,431371,0,0,24.139116908647082,195.8886690827794,1.0,16.0,86666.0,211.74744952818693,211.74744952818693,True
Subflow Fwd Bytes,431371,0,0,9416.956462070932,34452.49471224171,0.0,6752.0,15266416.0,177.57489479722108,177.57489479722108,True
Subflow Bwd Packets,431371,0,0,2.4720206040739874,56.37014282786021,0.0,0.0,31700.0,128.5255179375391,128.5255179375391,True
