,dtype,unique_values,missing_count,missing_percentage,is_numeric,inf_count,zero_percentage,skewness,constant,near_constant
Destination Port,int64,53805,0,0.0,True,0,0.05991359865590059,2.07205224863336,False,False
Flow Duration,int64,1050899,0,0.0,True,0,0.1012808298033414,2.1553558927330223,False,False
Total Fwd Packets,int64,1432,0,0.0,True,0,0.0,244.38055300505061,False,False
Total Backward Packets,int64,1747,0,0.0,True,0,16.021200087750813,244.6795073937269,False,False
Total Length of Fwd Packets,int64,17928,0,0.0,True,0,15.867565511952161,805.5705391050949,False,False
Total Length of Bwd Packets,int64,64698,0,0.0,True,0,25.002128416461684,244.3308931867824,False,False
Fwd Packet Length Max,int64,5279,0,0.0,True,0,15.867565511952161,9.849179260121089,False,False
Fwd Packet Length Min,int64,384,0,0.0,True,0,46.53287140513992,20.139171867116847,False,False
Fwd Packet Length Mean,float64,99716,0,0.0,True,0,15.867565511952161,9.135766045183045,False,False
Fwd Packet Length Std,float64,253909,0,0.0,True,0,65.37802972576458,10.531080437178678,False,False
Bwd Packet Length Max,int64,4838,0,0.0,True,0,25.002128416461684,2.9383553571357717,False,False
Bwd Packet Length Min,int64,583,0,0.0,True,0,50.79468535292677,4.838118662589023,False,False
Bwd Packet Length Mean,float64,147614,0,0.0,True,0,25.002128416461684,2.5192831324163936,False,False
Bwd Packet Length Std,float64,248869,0,0.0,True,0,71.58947315245503,3.4144922581019044,False,False
Flow Bytes/s,float64,1593909,1358,0.04797327062188267,True,1509,12.567972436918506,,False,False
Flow Packets/s,float64,1240164,0,0.0,True,2867,0.0,,False,False
Flow IAT Mean,float64,1166311,0,0.0,True,0,0.1012808298033414,8.969788935498316,False,False
Flow IAT Std,float64,1056642,0,0.0,True,0,35.26727788428692,3.611055719686751,False,False
Flow IAT Max,int64,580289,0,0.0,True,0,0.10124550338903955,2.901926146201272,False,False
Flow IAT Min,int64,136316,0,0.0,True,0,2.6731144438050367,23.788150897944526,False,False
Fwd IAT Total,int64,493098,0,0.0,True,0,25.149298258443103,2.1769304026711076,False,False
Fwd IAT Mean,float64,737737,0,0.0,True,0,25.149298258443103,7.06635407480428,False,False
