attack_class,count,percentage_of_attacks
DoS Hulk,231073,41.437220028476844
PortScan,158930,28.500159599459156
DDoS,128027,22.958471862077374
DoS GoldenEye,10293,1.8457946439138808
FTP-Patator,7938,1.4234837154754092
SSH-Patator,5897,1.0574809108287337
DoS slowloris,5796,1.039369062093156
DoS Slowhttptest,5499,0.9861094672964569
Bot,1966,0.35255341202124646
Web Attack � Brute Force,1507,0.27024312915362075
Web Attack � XSS,652,0.11692005322372974
Infiltration,36,0.006455708460205937
Web Attack � Sql Injection,21,0.0037658299351201303
Heartbleed,11,0.0019725775850629253
