,count,mean,std,min,25%,50%,75%,max,missing_count,missing_percentage,zero_count,zero_percentage,skewness,kurtosis,max_to_median_ratio,skew_category,zero_dominated,high_outlier_rate
Destination Port,2830743.0,8071.482501237308,18283.63217237561,0.0,53.0,80.0,443.0,65535.0,0,0.0,1696,0.05991359865590059,2.06118561763732,2.4715529950251645,819.1875,Very High,False,True
Flow Duration,2830743.0,14785663.929521684,33653744.08585523,-13.0,155.0,31316.0,3204828.5,119999998.0,0,0.0,2867,0.1012808298033414,2.1654403349605134,3.06689073681708,3831.906948524716,Very High,False,True
Total Fwd Packets,2830743.0,9.361159949878884,749.6727924980048,1.0,2.0,2.0,5.0,219759.0,0,0.0,0,0.0,253.06562433310236,65771.88494514914,109879.5,Extreme,False,True
Total Backward Packets,2830743.0,10.393770116185044,997.3882689050921,0.0,1.0,2.0,4.0,291922.0,0,0.0,453519,16.021200087750813,253.37144986683785,65983.4315206515,145961.0,Extreme,False,True
Total Length of Fwd Packets,2830743.0,549.3024145957439,9993.589229393498,0.0,12.0,62.0,187.0,12900000.0,0,0.0,449170,15.867565511952161,168.58169524563817,39267.58842469774,208064.51612903227,Extreme,False,True
Total Length of Bwd Packets,2830743.0,16162.64254649751,2263088.051725944,0.0,0.0,123.0,482.0,655453030.0,0,0.0,707746,25.002128416461684,253.05998398184335,65758.50152963249,5328886.422764228,Extreme,False,True
Fwd Packet Length Max,2830743.0,207.59994107554095,717.1848417583044,0.0,6.0,37.0,81.0,24820.0,0,0.0,449170,15.867565511952161,9.892587703282794,142.3062948235406,670.8108108108108,Extreme,False,True
Fwd Packet Length Min,2830743.0,18.713656096650244,60.33934535101894,0.0,0.0,2.0,36.0,2325.0,0,0.0,1317226,46.53287140513992,20.054534100411257,473.0382548482115,1162.5,Extreme,False,False
Fwd Packet Length Mean,2830743.0,58.20193852812372,186.09115654962315,0.0,6.0,34.0,50.0,5940.857143,0,0.0,449170,15.867565511952161,9.116801560512952,94.6874885534138,174.7310924411765,Extreme,False,True
Fwd Packet Length Std,2830743.0,68.91013354422385,281.18709207898524,0.0,0.0,0.0,26.1629509,7125.5968458437,0,0.0,1850684,65.37802972576458,10.44237775599477,138.31768315213742,,Extreme,False,True
Bwd Packet Length Max,2830743.0,870.849454719132,1946.3673768747033,0.0,0.0,79.0,280.0,19530.0,0,0.0,707746,25.002128416461684,2.9545090239509144,9.051492720027198,247.21518987341773,Very High,False,True
Bwd Packet Length Min,2830743.0,41.049579209416045,68.86260264724743,0.0,0.0,0.0,77.0,2896.0,0,0.0,1437867,50.79468535292677,4.981530459149422,75.36481556940502,,Very High,False,False
Bwd Packet Length Mean,2830743.0,305.94928134992875,605.2568001421855,0.0,0.0,72.0,181.0,5800.5,0,0.0,707746,25.002128416461684,2.5265913746749242,5.516035882020653,80.5625,Very High,False,True
Bwd Packet Length Std,2830743.0,335.3257206074605,839.6932177113689,0.0,0.0,0.0,77.9405367747,8194.660487,0,0.0,2026514,71.58947315245503,3.4318857770452973,13.27905042193984,,Very High,False,True
Flow Bytes/s,2829385.0,inf,,-261000000.0,119.3197311,4595.549126,166666.6667,inf,1358,0.04797327062188267,355767,12.567972436918506,49.231986299099916,3081.1984058417775,inf,Extreme,False,True
