,lower_outliers,upper_outliers,total_outliers,outlier_percentage
Destination Port,0,55650,55650,22.259999999999998
Flow Duration,0,47324,47324,18.9296
Total Fwd Packets,0,29437,29437,11.7748
Total Backward Packets,0,27280,27280,10.911999999999999
Total Length of Fwd Packets,0,39140,39140,15.656
Total Length of Bwd Packets,0,54665,54665,21.866
Fwd Packet Length Max,0,58570,58570,23.427999999999997
Fwd Packet Length Min,0,1361,1361,0.5444
Fwd Packet Length Mean,0,16676,16676,6.6704
Fwd Packet Length Std,0,58565,58565,23.426
Bwd Packet Length Max,0,56281,56281,22.5124
Bwd Packet Length Min,0,7524,7524,3.0096000000000003
Bwd Packet Length Mean,0,41681,41681,16.6724
Bwd Packet Length Std,0,57794,57794,23.1176
Flow Bytes/s,5,46966,46971,18.7884
Flow Packets/s,8,26873,26881,10.7524
Flow IAT Mean,0,50665,50665,20.266000000000002
Flow IAT Std,0,53279,53279,21.3116
Flow IAT Max,0,49115,49115,19.646
Flow IAT Min,0,45339,45339,18.1356
Fwd IAT Total,0,59057,59057,23.622799999999998
Fwd IAT Mean,0,59545,59545,23.818
Fwd IAT Std,0,58386,58386,23.354400000000002
Fwd IAT Max,0,58871,58871,23.5484
Fwd IAT Min,0,47333,47333,18.9332
Bwd IAT Total,0,50174,50174,20.0696
Bwd IAT Mean,0,49968,49968,19.987199999999998
Bwd IAT Std,0,53129,53129,21.2516
Bwd IAT Max,0,50322,50322,20.1288
Bwd IAT Min,0,24890,24890,9.956
Fwd PSH Flags,0,11666,11666,4.666399999999999
Bwd PSH Flags,0,0,0,0.0
Fwd URG Flags,0,31,31,0.012400000000000001
Bwd URG Flags,0,0,0,0.0
Fwd Header Length,0,33912,33912,13.564799999999998
Bwd Header Length,0,31263,31263,12.5052
Fwd Packets/s,0,29936,29936,11.974400000000001
Bwd Packets/s,0,22399,22399,8.9596
Min Packet Length,0,903,903,0.3612
Max Packet Length,0,55122,55122,22.0488
Packet Length Mean,0,40784,40784,16.3136
Packet Length Std,0,49559,49559,19.8236
Packet Length Variance,0,57863,57863,23.1452
FIN Flag Count,0,8937,8937,3.5748
SYN Flag Count,0,11666,11666,4.666399999999999
RST Flag Count,0,61,61,0.024399999999999998
PSH Flag Count,0,0,0,0.0
ACK Flag Count,0,0,0,0.0
URG Flag Count,0,23821,23821,9.5284
CWE Flag Count,0,31,31,0.012400000000000001
ECE Flag Count,0,61,61,0.024399999999999998
Down/Up Ratio,0,2419,2419,0.9676
Average Packet Size,0,36037,36037,14.4148
Avg Fwd Segment Size,0,16676,16676,6.6704
Avg Bwd Segment Size,0,41681,41681,16.6724
Fwd Header Length.1,0,33912,33912,13.564799999999998
Fwd Avg Bytes/Bulk,0,0,0,0.0
Fwd Avg Packets/Bulk,0,0,0,0.0
Fwd Avg Bulk Rate,0,0,0,0.0
Bwd Avg Bytes/Bulk,0,0,0,0.0
Bwd Avg Packets/Bulk,0,0,0,0.0
Bwd Avg Bulk Rate,0,0,0,0.0
Subflow Fwd Packets,0,29437,29437,11.7748
Subflow Fwd Bytes,0,39140,39140,15.656
Subflow Bwd Packets,0,27280,27280,10.911999999999999
Subflow Bwd Bytes,0,54665,54665,21.866
Init_Win_bytes_forward,0,38748,38748,15.499199999999998
Init_Win_bytes_backward,0,25102,25102,10.040799999999999
act_data_pkt_fwd,0,27413,27413,10.9652
min_seg_size_forward,161,26,187,0.07479999999999999
Active Mean,0,49125,49125,19.650000000000002
Active Std,0,18183,18183,7.2732
Active Max,0,49125,49125,19.650000000000002
Active Min,0,49125,49125,19.650000000000002
Idle Mean,0,49905,49905,19.962
Idle Std,0,20252,20252,8.1008
Idle Max,0,49905,49905,19.962
Idle Min,0,49905,49905,19.962
