,0.01,0.05,0.25,0.5,0.75,0.95,0.99,iqr,p99_p50_ratio
Destination Port,22.0,53.0,53.0,80.0,443.0,55239.0,61642.060000000056,390.0,770.5257500000007
Flow Duration,1.0,4.0,154.0,31296.0,3090775.25,101080558.74999997,117789962.48,3090621.25,3763.738576175869
Total Fwd Packets,1.0,1.0,2.0,2.0,5.0,19.0,48.0,3.0,24.0
Total Backward Packets,0.0,0.0,1.0,2.0,4.0,17.0,57.0,3.0,28.5
Total Length of Fwd Packets,0.0,0.0,6.0,62.0,187.0,1786.0,11595.0,181.0,187.01612903225808
Total Length of Bwd Packets,0.0,0.0,0.0,122.0,481.0,11601.0,72490.4300000004,481.0,594.1838524590197
Fwd Packet Length Max,0.0,0.0,6.0,37.0,81.0,737.0,2959.030000000028,75.0,79.97378378378454
Fwd Packet Length Min,0.0,0.0,0.0,2.0,36.0,53.0,77.0,36.0,38.5
Fwd Packet Length Mean,0.0,0.0,6.0,34.0,50.0,143.3333333,1035.5,44.0,30.455882352941178
Fwd Packet Length Std,0.0,0.0,0.0,0.0,26.1629509,248.837966,1104.997607160002,26.1629509,
Bwd Packet Length Max,0.0,0.0,0.0,79.0,277.0,5792.0,8760.0,277.0,110.88607594936708
Bwd Packet Length Min,0.0,0.0,0.0,0.0,77.0,168.0,247.0,77.0,
Bwd Packet Length Mean,0.0,0.0,0.0,72.0,181.0,1932.5,2326.4,181.0,32.31111111111111
Bwd Packet Length Std,0.0,0.0,0.0,0.0,76.8787636975,2181.008184,4128.319301,76.8787636975,
Flow Bytes/s,0.0,0.0,119.215898475,4585.461202,163265.3061,2269878.7271999987,12333333.3333333,163146.090201525,2689.6603831156567
Flow Packets/s,0.063085395838,0.1429890967,3.51362213195,111.5767294,23255.81395,666666.666666667,2000000.0,23252.300327868048,17924.884613081336
Flow IAT Mean,1.0,3.0,63.66666667,11335.3476190476,331288.20405,7593145.119,21300000.0,331224.53738333,1879.077794156756
Flow IAT Std,0.0,0.0,0.0,135.10181345,669172.9942999999,24600000.0,32700539.753754776,669172.9942999999,242043.67742152445
Flow IAT Max,1.0,3.0,122.0,30855.0,2286493.5,84700000.0,99900000.0,2286371.5,3237.724842002917
Flow IAT Min,0.0,1.0,3.0,4.0,64.0,60868.0,600015.06,61.0,150003.765
Fwd IAT Total,0.0,0.0,0.0,26.0,1175510.0,101000000.0,118000000.0,1175510.0,4538461.538461538
Fwd IAT Mean,0.0,0.0,0.0,19.0,194264.03571428574,14300000.0,51458604.14000039,194264.03571428574,2708347.5863158097
Fwd IAT Std,0.0,0.0,0.0,0.0,64372.5833,32100000.0,44300000.0,64372.5833,
Fwd IAT Max,0.0,0.0,0.0,23.0,875503.25,84700000.0,99900000.0,875503.25,4343478.260869565
Fwd IAT Min,0.0,0.0,0.0,3.0,48.0,35120.09999999998,49500000.0,48.0,16500000.0
Bwd IAT Total,0.0,0.0,0.0,3.0,95965.0,99700000.0,117000000.0,95965.0,39000000.0
Bwd IAT Mean,0.0,0.0,0.0,3.0,17795.892857142826,8034697.839285708,51800000.0,17795.892857142826,17266666.666666668
Bwd IAT Std,0.0,0.0,0.0,0.0,15554.73403,5098141.442086848,40000000.0,15554.73403,
Bwd IAT Max,0.0,0.0,0.0,3.0,59163.0,25601559.849999636,98700000.0,59163.0,32900000.0
Bwd IAT Min,0.0,0.0,0.0,1.0,44.0,798.0,45036267.75,44.0,45036267.75
Fwd PSH Flags,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
Bwd PSH Flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Fwd URG Flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Bwd URG Flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Fwd Header Length,20.0,20.0,40.0,64.0,120.0,492.0,1328.0,80.0,20.75
Bwd Header Length,0.0,0.0,20.0,40.0,104.0,488.0,1544.0,84.0,38.6
Fwd Packets/s,0.03123519316,0.08038752135,1.768669783475,61.54603644,12048.19277,565217.3913,1500000.0,12046.424100216525,24371.99999812043
Bwd Packets/s,0.0,0.0,0.12216175224999999,19.83064628,7326.007326,23809.52381,71428.57143,7325.88516424775,3601.928571639068
Min Packet Length,0.0,0.0,0.0,2.0,36.0,53.0,72.0,36.0,36.0
Max Packet Length,0.0,0.0,6.0,87.0,520.0,5792.0,10135.0,514.0,116.49425287356321
Packet Length Mean,0.0,0.0,6.0,57.2,119.7076923,917.4615385,1292.555556,113.7076923,22.597125104895103
Packet Length Std,0.0,0.0,0.0,25.7429602027,173.96002221162502,1766.7437345999972,2921.083932080003,173.96002221162502,113.47117460771393
Packet Length Variance,0.0,0.0,0.0,662.7,30262.08950588235,3121383.42534999,8532731.340000017,30262.08950588235,12875.70746944321
FIN Flag Count,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
SYN Flag Count,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
RST Flag Count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
PSH Flag Count,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,
ACK Flag Count,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,
URG Flag Count,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
CWE Flag Count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
ECE Flag Count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Down/Up Ratio,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0
Average Packet Size,0.0,0.0,7.5,72.0,149.368140275,991.3333333,1454.125,141.868140275,20.196180555555557
Avg Fwd Segment Size,0.0,0.0,6.0,34.0,50.0,143.3333333,1035.5,44.0,30.455882352941178
Avg Bwd Segment Size,0.0,0.0,0.0,72.0,181.0,1932.5,2326.4,181.0,32.31111111111111
Fwd Header Length.1,20.0,20.0,40.0,64.0,120.0,492.0,1328.0,80.0,20.75
Fwd Avg Bytes/Bulk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Fwd Avg Packets/Bulk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Fwd Avg Bulk Rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Bwd Avg Bytes/Bulk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Bwd Avg Packets/Bulk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Bwd Avg Bulk Rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Subflow Fwd Packets,1.0,1.0,2.0,2.0,5.0,19.0,48.0,3.0,24.0
Subflow Fwd Bytes,0.0,0.0,6.0,62.0,187.0,1786.0,11595.0,181.0,187.01612903225808
Subflow Bwd Packets,0.0,0.0,1.0,2.0,4.0,17.0,57.0,3.0,28.5
Subflow Bwd Bytes,0.0,0.0,0.0,122.0,481.0,11601.0,72490.4300000004,481.0,594.1838524590197
Init_Win_bytes_forward,-1.0,-1.0,-1.0,251.0,8192.0,29200.0,65535.0,8193.0,261.0956175298805
Init_Win_bytes_backward,-1.0,-1.0,-1.0,-1.0,235.0,11585.49999999965,42780.0,236.0,-42780.0
act_data_pkt_fwd,0.0,0.0,0.0,1.0,2.0,11.0,27.0,2.0,27.0
min_seg_size_forward,20.0,20.0,20.0,24.0,32.0,32.0,40.0,12.0,1.6666666666666667
Active Mean,0.0,0.0,0.0,0.0,0.0,223414.64090999984,2221763.6250000205,0.0,
Active Std,0.0,0.0,0.0,0.0,0.0,70366.94381451972,1132951.3864500038,0.0,
Active Max,0.0,0.0,0.0,0.0,0.0,483059.5999999996,4167840.840000001,0.0,
Active Min,0.0,0.0,0.0,0.0,0.0,88671.34999999992,1492940.110000002,0.0,
Idle Mean,0.0,0.0,0.0,0.0,0.0,84100000.0,99700000.0,0.0,
Idle Std,0.0,0.0,0.0,0.0,0.0,48775.84789949984,18800000.0,0.0,
Idle Max,0.0,0.0,0.0,0.0,0.0,84600000.0,99800000.0,0.0,
Idle Min,0.0,0.0,0.0,0.0,0.0,84100000.0,99700000.0,0.0,
