,count,mean,std,min,25%,50%,75%,max,missing_count,missing_percentage,zero_count,zero_percentage,skewness,kurtosis
Bwd PSH Flags,2830743.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2830743,100.0,0.0,0.0
Bwd URG Flags,2830743.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2830743,100.0,0.0,0.0
Bwd Avg Bytes/Bulk,2830743.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2830743,100.0,0.0,0.0
Fwd Avg Bulk Rate,2830743.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2830743,100.0,0.0,0.0
Bwd Avg Bulk Rate,2830743.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2830743,100.0,0.0,0.0
Bwd Avg Packets/Bulk,2830743.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2830743,100.0,0.0,0.0
Fwd Avg Packets/Bulk,2830743.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2830743,100.0,0.0,0.0
Fwd Avg Bytes/Bulk,2830743.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2830743,100.0,0.0,0.0
CWE Flag Count,2830743.0,0.00011127820505075876,0.010548263436133866,0.0,0.0,0.0,0.0,1.0,0,0.0,2830428,99.98887217949492,94.78130272482831,8981.501691900536
Fwd URG Flags,2830743.0,0.00011127820505075876,0.010548263436133866,0.0,0.0,0.0,0.0,1.0,0,0.0,2830428,99.98887217949492,94.78130272482831,8981.501691900536
RST Flag Count,2830743.0,0.0002423392021105413,0.015565364095025081,0.0,0.0,0.0,0.0,1.0,0,0.0,2830057,99.97576607978894,64.21411164430033,4121.455046191241
ECE Flag Count,2830743.0,0.00024339899453959613,0.015599353750469678,0.0,0.0,0.0,0.0,1.0,0,0.0,2830054,99.97566010054604,64.07405871962325,4103.487900036001
FIN Flag Count,2830743.0,0.035379757187423935,0.18473776556242197,0.0,0.0,0.0,0.0,1.0,0,0.0,2730592,96.46202428125761,5.030055112614846,23.30147089909055
Fwd PSH Flags,2830743.0,0.04644646299575765,0.2104500052666412,0.0,0.0,0.0,0.0,1.0,0,0.0,2699265,95.35535370042425,4.310324030433898,16.578904960800724
SYN Flag Count,2830743.0,0.04644646299575765,0.2104500052666412,0.0,0.0,0.0,0.0,1.0,0,0.0,2699265,95.35535370042425,4.310324030433898,16.578904960800724
Active Std,2830743.0,41134.11677514879,393381.51531683165,0.0,0.0,0.0,0.0,74200000.0,0,0.0,2625209,92.73922076288805,40.471707205800996,4110.318078597616
Idle Std,2830743.0,503843.9497793038,4602984.480672,0.0,0.0,0.0,0.0,76900000.0,0,0.0,2601500,91.90166680620601,10.493403947078571,114.38739747154428
URG Flag Count,2830743.0,0.0948231612689672,0.2929705781767338,0.0,0.0,0.0,0.0,1.0,0,0.0,2562323,90.51768387310328,2.765991913056269,5.650715255482343
