split,label_id,count
train,0,1591168
train,1,1376
train,2,89619
train,3,7205
train,4,161751
train,5,3849
train,6,4057
train,7,5557
train,8,8
train,9,25
train,10,111251
train,11,4128
train,12,1055
train,13,15
train,14,456
validation,0,340964
validation,1,295
validation,2,19204
validation,3,1544
validation,4,34661
validation,5,825
validation,6,870
validation,7,1190
validation,8,2
validation,9,6
validation,10,23839
validation,11,884
validation,12,226
validation,13,3
validation,14,98
test,0,340965
test,1,295
test,2,19204
test,3,1544
test,4,34661
test,5,825
test,6,869
test,7,1191
test,8,1
test,9,5
test,10,23840
test,11,885
test,12,226
test,13,3
test,14,98
