label,record_count,percentage,percentage_of_attack_traffic
DDOS attack-HOIC,686012,4.2260328681041255,24.961376039099164
DDoS attacks-LOIC-HTTP,576191,3.549503659273867,20.965406175612944
DoS attacks-Hulk,461912,2.8455118775935593,16.80722659220593
Bot,286191,1.763019557319096,10.413405552681045
FTP-BruteForce,193360,1.1911536757033603,7.035637380862456
SSH-Bruteforce,187589,1.1556026420744605,6.8256525684661105
Infilteration,161934,0.9975604019515305,5.8921643754270825
DoS attacks-SlowHTTPTest,139890,0.8617629690429409,5.09006678324808
DoS attacks-GoldenEye,41508,0.25570131759978837,1.510318765022956
DoS attacks-Slowloris,10990,0.06770158717407908,0.3998844374000744
DDOS attack-LOIC-UDP,1730,0.010657301711661219,0.06294814164714546
Brute Force -Web,611,0.0037639371941185,0.022231973726246173
Brute Force -XSS,230,0.0014168667015503355,0.008368828080256333
SQL Injection,87,0.0005359452305864313,0.0031656001868795697
Label,59,0.00036345711039769476,0.0021467863336309726
