dataset,relative_path,file_name,size_bytes,rows_sampled,column_count,columns
CIC-IDS2017,02_feature_data_quality/feature_quality_summary.csv,feature_quality_summary.csv,7024,5,11,Unnamed: 0 | dtype | unique_values | missing_count | missing_percentage | is_numeric | inf_count | zero_percentage | skewness | constant | near_constant
CIC-IDS2017,02_feature_data_quality/high_correlation_pairs.csv,high_correlation_pairs.csv,2101,5,3,feature_1 | feature_2 | correlation
CIC-IDS2017,02_feature_data_quality/infinite_value_summary.csv,infinite_value_summary.csv,1914,5,3,Unnamed: 0 | inf_count | inf_percentage
CIC-IDS2017,02_feature_data_quality/missing_value_summary.csv,missing_value_summary.csv,1917,5,3,Unnamed: 0 | missing_count | missing_percentage
CIC-IDS2017,02_feature_data_quality/near_constant_features.csv,near_constant_features.csv,357,5,2,feature | dominant_value_frequency
CIC-IDS2017,02_feature_data_quality/schema_consistency_report.csv,schema_consistency_report.csv,538,5,5,file | num_columns | missing_columns | extra_columns | column_order_matches
CIC-IDS2017,03_class_distribution/attack_class_distribution.csv,attack_class_distribution.csv,597,5,3,attack_class | count | percentage_of_attacks
CIC-IDS2017,03_class_distribution/class_file_presence.csv,class_file_presence.csv,268,5,2,Label | files_present
CIC-IDS2017,03_class_distribution/class_imbalance_summary.csv,class_imbalance_summary.csv,409,5,2,metric | value
CIC-IDS2017,03_class_distribution/class_presence_matrix.csv,class_presence_matrix.csv,828,5,16,source_file | BENIGN | Bot | DDoS | DoS GoldenEye | DoS Hulk | DoS Slowhttptest | DoS slowloris | FTP-Patator | Heartbleed | Infiltration | PortScan | SSH-Patator | Web Attack � Brute Force | Web Attack � Sql Injection | Web Attack � XSS
CIC-IDS2017,03_class_distribution/overall_class_distribution.csv,overall_class_distribution.csv,618,5,3,Class | count | percentage
CIC-IDS2017,03_class_distribution/per_file_class_distribution.csv,per_file_class_distribution.csv,1823,5,4,source_file | Label | count | percentage
CIC-IDS2017,04_feature_distribution/feature_distribution_report.csv,feature_distribution_report.csv,14464,5,19,Unnamed: 0 | count | mean | std | min | 25% | 50% | 75% | max | missing_count | missing_percentage | zero_count | zero_percentage | skewness | kurtosis | max_to_median_ratio | skew_category | zero_dominated | high_outlier_rate
CIC-IDS2017,04_feature_distribution/feature_distribution_summary.csv,feature_distribution_summary.csv,12913,5,16,Unnamed: 0 | count | mean | std | min | 25% | 50% | 75% | max | missing_count | missing_percentage | zero_count | zero_percentage | skewness | kurtosis | max_to_median_ratio
CIC-IDS2017,04_feature_distribution/feature_outlier_summary.csv,feature_outlier_summary.csv,3254,5,5,Unnamed: 0 | lower_outliers | upper_outliers | total_outliers | outlier_percentage
CIC-IDS2017,04_feature_distribution/feature_percentiles.csv,feature_percentiles.csv,6181,5,10,Unnamed: 0 | 0.01 | 0.05 | 0.25 | 0.5 | 0.75 | 0.95 | 0.99 | iqr | p99_p50_ratio
CIC-IDS2017,04_feature_distribution/highly_skewed_features.csv,highly_skewed_features.csv,11731,5,16,Unnamed: 0 | count | mean | std | min | 25% | 50% | 75% | max | missing_count | missing_percentage | zero_count | zero_percentage | skewness | kurtosis | max_to_median_ratio
CIC-IDS2017,04_feature_distribution/zero_dominated_features.csv,zero_dominated_features.csv,2344,5,15,Unnamed: 0 | count | mean | std | min | 25% | 50% | 75% | max | missing_count | missing_percentage | zero_count | zero_percentage | skewness | kurtosis
CIC-IDS2017,05_preprocessing/candidate_features.csv,candidate_features.csv,1946,5,2,feature | status
CIC-IDS2017,05_preprocessing/dropped_features.csv,dropped_features.csv,351,5,3,feature | reason | action
CIC-IDS2017,05_preprocessing/preprocessing_decisions.csv,preprocessing_decisions.csv,555,5,3,issue | decision | stage
CIC-IDS2017,05_preprocessing/preprocessing_summary.csv,preprocessing_summary.csv,211,5,2,metric | value
CIC-IDS2017,05_preprocessing/suspicious_features.csv,suspicious_features.csv,192,3,4,feature | negative_count | negative_percentage | action
CIC-IDS2017,05_preprocessing/target_mapping.csv,target_mapping.csv,273,5,2,class_name | class_id
CIC-IDS2017,06_ml_suitability/class_distribution_assessment.csv,class_distribution_assessment.csv,521,4,4,factor | finding | severity | ml_impact
