dataset,label,count,percentage
CIC-DDoS2019,Benign,97831,22.67908598399058
CIC-DDoS2019,DrDoS_DNS,3669,0.8505439633169591
CIC-DDoS2019,DrDoS_LDAP,1440,0.3338193805332301
CIC-DDoS2019,DrDoS_MSSQL,6212,1.4400597165780733
CIC-DDoS2019,DrDoS_NTP,121368,28.135410122609077
CIC-DDoS2019,DrDoS_NetBIOS,598,0.13862777052699415
CIC-DDoS2019,DrDoS_SNMP,2717,0.6298522617422126
CIC-DDoS2019,DrDoS_UDP,10420,2.4155541285807347
CIC-DDoS2019,LDAP,1906,0.4418470411780115
CIC-DDoS2019,MSSQL,8523,1.9757934585310555
CIC-DDoS2019,NetBIOS,644,0.1492914451829168
CIC-DDoS2019,Portmap,685,0.15879602476754348
CIC-DDoS2019,Syn,49373,11.445600191018867
CIC-DDoS2019,TFTP,98917,22.930841433476058
CIC-DDoS2019,UDP,18090,4.193605967948703
CIC-DDoS2019,UDP-lag,8872,2.056698294507512
CIC-DDoS2019,UDPLag,55,0.012750045784255315
CIC-DDoS2019,WebDDoS,51,0.011822769727218565
CIC-IDS2017,Benign,1977318,85.45723287564667
CIC-IDS2017,Bot,1437,0.062105358694101935
CIC-IDS2017,DDoS,128014,5.532606393783414
CIC-IDS2017,DoS GoldenEye,10286,0.44454816946940323
CIC-IDS2017,DoS Hulk,172846,7.470189860014435
CIC-IDS2017,DoS Slowhttptest,5228,0.22594767936866034
CIC-IDS2017,DoS slowloris,5385,0.23273302475138408
CIC-IDS2017,FTP-Patator,5931,0.25633046792951886
CIC-IDS2017,Heartbleed,11,0.0004754063643946565
CIC-IDS2017,Infiltration,36,0.001555875374382512
CIC-IDS2017,PortScan,1956,0.08453589534144981
CIC-IDS2017,SSH-Patator,3219,0.1391211897260363
CIC-IDS2017,Web Attack � Brute Force,1470,0.06353157778728591
CIC-IDS2017,Web Attack � Sql Injection,21,0.0009075939683897987
CIC-IDS2017,Web Attack � XSS,652,0.02817863178048327
CIC-IDS2018,Benign,13484708,83.06971193621487
CIC-IDS2018,Bot,286191,1.763019557319096
CIC-IDS2018,Brute Force -Web,611,0.0037639371941185
CIC-IDS2018,Brute Force -XSS,230,0.0014168667015503355
CIC-IDS2018,DDOS attack-HOIC,686012,4.2260328681041255
CIC-IDS2018,DDOS attack-LOIC-UDP,1730,0.010657301711661219
CIC-IDS2018,DDoS attacks-LOIC-HTTP,576191,3.549503659273867
CIC-IDS2018,DoS attacks-GoldenEye,41508,0.25570131759978837
CIC-IDS2018,DoS attacks-Hulk,461912,2.8455118775935593
CIC-IDS2018,DoS attacks-SlowHTTPTest,139890,0.8617629690429409
CIC-IDS2018,DoS attacks-Slowloris,10990,0.06770158717407908
CIC-IDS2018,FTP-BruteForce,193360,1.1911536757033603
CIC-IDS2018,Infilteration,161934,0.9975604019515305
CIC-IDS2018,Label,59,0.00036345711039769476
CIC-IDS2018,SQL Injection,87,0.0005359452305864313
CIC-IDS2018,SSH-Bruteforce,187589,1.1556026420744605
