dataset,file,label,count
CIC-IDS2017,Benign-Monday-no-metadata.parquet,Benign,458831
CIC-IDS2017,Botnet-Friday-no-metadata.parquet,Benign,174601
CIC-IDS2017,Botnet-Friday-no-metadata.parquet,Bot,1437
CIC-IDS2017,Bruteforce-Tuesday-no-metadata.parquet,Benign,380564
CIC-IDS2017,Bruteforce-Tuesday-no-metadata.parquet,FTP-Patator,5931
CIC-IDS2017,Bruteforce-Tuesday-no-metadata.parquet,SSH-Patator,3219
CIC-IDS2017,DDoS-Friday-no-metadata.parquet,Benign,93250
CIC-IDS2017,DDoS-Friday-no-metadata.parquet,DDoS,128014
CIC-IDS2017,DoS-Wednesday-no-metadata.parquet,Benign,391235
CIC-IDS2017,DoS-Wednesday-no-metadata.parquet,DoS slowloris,5385
CIC-IDS2017,DoS-Wednesday-no-metadata.parquet,DoS Slowhttptest,5228
CIC-IDS2017,DoS-Wednesday-no-metadata.parquet,DoS Hulk,172846
CIC-IDS2017,DoS-Wednesday-no-metadata.parquet,DoS GoldenEye,10286
CIC-IDS2017,DoS-Wednesday-no-metadata.parquet,Heartbleed,11
CIC-IDS2017,Infiltration-Thursday-no-metadata.parquet,Benign,207594
CIC-IDS2017,Infiltration-Thursday-no-metadata.parquet,Infiltration,36
CIC-IDS2017,Portscan-Friday-no-metadata.parquet,Benign,117566
CIC-IDS2017,Portscan-Friday-no-metadata.parquet,PortScan,1956
CIC-IDS2017,WebAttacks-Thursday-no-metadata.parquet,Benign,153677
CIC-IDS2017,WebAttacks-Thursday-no-metadata.parquet,Web Attack � Brute Force,1470
CIC-IDS2017,WebAttacks-Thursday-no-metadata.parquet,Web Attack � XSS,652
CIC-IDS2017,WebAttacks-Thursday-no-metadata.parquet,Web Attack � Sql Injection,21
CIC-IDS2018,02-14-2018.csv,Benign,667626
CIC-IDS2018,02-14-2018.csv,FTP-BruteForce,193360
CIC-IDS2018,02-14-2018.csv,SSH-Bruteforce,187589
CIC-IDS2018,02-15-2018.csv,Benign,996077
CIC-IDS2018,02-15-2018.csv,DoS attacks-GoldenEye,41508
CIC-IDS2018,02-15-2018.csv,DoS attacks-Slowloris,10990
CIC-IDS2018,02-16-2018.csv,Benign,446772
CIC-IDS2018,02-16-2018.csv,DoS attacks-SlowHTTPTest,139890
CIC-IDS2018,02-16-2018.csv,DoS attacks-Hulk,461912
CIC-IDS2018,02-16-2018.csv,Label,1
CIC-IDS2018,02-20-2018.csv,Benign,7372557
CIC-IDS2018,02-20-2018.csv,DDoS attacks-LOIC-HTTP,576191
CIC-IDS2018,02-21-2018.csv,Benign,360833
CIC-IDS2018,02-21-2018.csv,DDOS attack-LOIC-UDP,1730
CIC-IDS2018,02-21-2018.csv,DDOS attack-HOIC,686012
CIC-IDS2018,02-22-2018.csv,Benign,1048213
CIC-IDS2018,02-22-2018.csv,Brute Force -Web,249
CIC-IDS2018,02-22-2018.csv,Brute Force -XSS,79
CIC-IDS2018,02-22-2018.csv,SQL Injection,34
CIC-IDS2018,02-23-2018.csv,Benign,1048009
CIC-IDS2018,02-23-2018.csv,Brute Force -Web,362
CIC-IDS2018,02-23-2018.csv,Brute Force -XSS,151
