dataset,file,format,records,columns,size_mb
CIC-IDS2017,Benign-Monday-no-metadata.parquet,parquet,458831,78,54.136
CIC-IDS2017,Botnet-Friday-no-metadata.parquet,parquet,176038,78,18.935
CIC-IDS2017,Bruteforce-Tuesday-no-metadata.parquet,parquet,389714,78,44.003
CIC-IDS2017,DDoS-Friday-no-metadata.parquet,parquet,221264,78,24.13
CIC-IDS2017,DoS-Wednesday-no-metadata.parquet,parquet,584991,78,65.039
CIC-IDS2017,Infiltration-Thursday-no-metadata.parquet,parquet,207630,78,22.074
CIC-IDS2017,Portscan-Friday-no-metadata.parquet,parquet,119522,78,12.964
CIC-IDS2017,WebAttacks-Thursday-no-metadata.parquet,parquet,155820,78,16.835
CIC-IDS2018,02-14-2018.csv,csv,1048575,80,341.628
CIC-IDS2018,02-15-2018.csv,csv,1048575,80,358.53
CIC-IDS2018,02-16-2018.csv,csv,1048575,80,318.264
CIC-IDS2018,02-20-2018.csv,csv,7948748,84,3867.078
CIC-IDS2018,02-21-2018.csv,csv,1048575,80,313.657
CIC-IDS2018,02-22-2018.csv,csv,1048575,80,364.91
CIC-IDS2018,02-23-2018.csv,csv,1048575,80,365.105
CIC-IDS2018,02-28-2018.csv,csv,613104,80,199.556
CIC-IDS2018,03-01-2018.csv,csv,331125,80,102.847
CIC-IDS2018,03-02-2018.csv,csv,1048575,80,336.045
CIC-DDoS2019,DNS-testing.parquet,parquet,6703,78,0.487
CIC-DDoS2019,LDAP-testing.parquet,parquet,2831,78,0.214
CIC-DDoS2019,LDAP-training.parquet,parquet,6715,78,0.591
CIC-DDoS2019,MSSQL-testing.parquet,parquet,8083,78,0.402
CIC-DDoS2019,MSSQL-training.parquet,parquet,10974,78,0.554
CIC-DDoS2019,NTP-testing.parquet,parquet,134674,78,9.047
CIC-DDoS2019,NetBIOS-testing.parquet,parquet,2225,78,0.242
CIC-DDoS2019,NetBIOS-training.parquet,parquet,1631,78,0.213
CIC-DDoS2019,Portmap-training.parquet,parquet,5105,78,0.544
CIC-DDoS2019,SNMP-testing.parquet,parquet,4018,78,0.256
CIC-DDoS2019,Syn-testing.parquet,parquet,907,78,0.131
CIC-DDoS2019,Syn-training.parquet,parquet,70336,78,8.209
CIC-DDoS2019,TFTP-testing.parquet,parquet,121833,78,7.864
CIC-DDoS2019,UDP-testing.parquet,parquet,12462,78,0.953
CIC-DDoS2019,UDP-training.parquet,parquet,17770,78,1.321
CIC-DDoS2019,UDPLag-testing.parquet,parquet,12465,78,1.211
CIC-DDoS2019,UDPLag-training.parquet,parquet,12639,78,1.363
