dataset,file,records,columns,missing_values,infinite_values,duplicate_occurrences,constant_numeric_features
CIC-IDS2017,Benign-Monday-no-metadata.parquet,458831,78,0,0,,10
CIC-IDS2017,Botnet-Friday-no-metadata.parquet,176038,78,0,0,,10
CIC-IDS2017,Bruteforce-Tuesday-no-metadata.parquet,389714,78,0,0,,10
CIC-IDS2017,DDoS-Friday-no-metadata.parquet,221264,78,0,0,,10
CIC-IDS2017,DoS-Wednesday-no-metadata.parquet,584991,78,0,0,,10
CIC-IDS2017,Infiltration-Thursday-no-metadata.parquet,207630,78,0,0,,8
CIC-IDS2017,Portscan-Friday-no-metadata.parquet,119522,78,0,0,,10
CIC-IDS2017,WebAttacks-Thursday-no-metadata.parquet,155820,78,0,0,,10
CIC-IDS2018,02-14-2018.csv,1048575,80,2277,5371,,10
CIC-IDS2018,02-15-2018.csv,1048575,80,4921,11133,,10
CIC-IDS2018,02-16-2018.csv,1048575,80,0,0,,10
CIC-IDS2018,02-20-2018.csv,7948748,84,36767,82139,,10
CIC-IDS2018,02-21-2018.csv,1048575,80,0,0,,10
CIC-IDS2018,02-22-2018.csv,1048575,80,3569,7651,,10
CIC-IDS2018,02-23-2018.csv,1048575,80,3754,7662,,10
CIC-IDS2018,02-28-2018.csv,613104,80,4041,8297,,8
CIC-IDS2018,03-01-2018.csv,331125,80,1834,4004,,8
CIC-IDS2018,03-02-2018.csv,1048575,80,2558,5542,,10
CIC-DDoS2019,DNS-testing.parquet,6703,78,0,0,,12
CIC-DDoS2019,LDAP-testing.parquet,2831,78,0,0,,14
CIC-DDoS2019,LDAP-training.parquet,6715,78,0,0,,12
CIC-DDoS2019,MSSQL-testing.parquet,8083,78,0,0,,12
CIC-DDoS2019,MSSQL-training.parquet,10974,78,0,0,,12
CIC-DDoS2019,NTP-testing.parquet,134674,78,0,0,,12
CIC-DDoS2019,NetBIOS-testing.parquet,2225,78,0,0,,12
CIC-DDoS2019,NetBIOS-training.parquet,1631,78,0,0,,12
CIC-DDoS2019,Portmap-training.parquet,5105,78,0,0,,12
CIC-DDoS2019,SNMP-testing.parquet,4018,78,0,0,,12
CIC-DDoS2019,Syn-testing.parquet,907,78,0,0,,12
CIC-DDoS2019,Syn-training.parquet,70336,78,0,0,,12
CIC-DDoS2019,TFTP-testing.parquet,121833,78,0,0,,12
CIC-DDoS2019,UDP-testing.parquet,12462,78,0,0,,12
CIC-DDoS2019,UDP-training.parquet,17770,78,0,0,,12
CIC-DDoS2019,UDPLag-testing.parquet,12465,78,0,0,,12
CIC-DDoS2019,UDPLag-training.parquet,12639,78,0,0,,12
