feature,importance
Init Bwd Win Bytes,0.044537374244373706
Fwd Packet Length Max,0.03818374910390943
Flow IAT Mean,0.03072347551613891
Init Fwd Win Bytes,0.028218840532564776
Avg Bwd Segment Size,0.026965270347664293
Subflow Bwd Bytes,0.025931870855646022
Bwd Packet Length Max,0.025430136751161243
Flow IAT Max,0.02542223688568648
Bwd Packet Length Mean,0.025130112976951755
Flow Duration,0.024724693761936277
Bwd Header Length,0.024540448490174557
Bwd Packets/s,0.02451542547829055
Flow IAT Std,0.02422829692527261
Fwd Seg Size Min,0.023163493649887193
Flow Packets/s,0.022275327346210773
Bwd Packets Length Total,0.021765975792289744
Fwd Packets/s,0.020774346777247828
Fwd IAT Mean,0.0205436554782411
Fwd IAT Std,0.020343954583525885
Fwd IAT Max,0.020263620982708737
Subflow Bwd Packets,0.019791898426575086
Total Backward Packets,0.019319453143593134
Fwd IAT Total,0.019144295851278106
Packet Length Max,0.018683795585410137
Avg Fwd Segment Size,0.018331024760540892
Fwd Packet Length Std,0.018235009925664403
Packet Length Mean,0.017916601862802764
Fwd Act Data Packets,0.017582595245020108
Avg Packet Size,0.017528746154180746
Packet Length Std,0.01743436891471832
Subflow Fwd Bytes,0.017034865882931943
Fwd IAT Min,0.016448573985530807
Packet Length Variance,0.016427435030646854
Bwd Packet Length Std,0.016090928207963
Fwd Packet Length Mean,0.014410828957771073
Total Fwd Packets,0.01408120742496941
Subflow Fwd Packets,0.013958155515615495
Flow IAT Min,0.013670317353949066
Fwd Packets Length Total,0.013192933751491278
Fwd Header Length,0.013125280452719065
Active Min,0.01162648511778666
Bwd IAT Max,0.01048716466330742
Packet Length Min,0.010103244039529542
Bwd IAT Total,0.009825214547958674
Bwd IAT Min,0.009344111216351229
PSH Flag Count,0.009246250919448726
Idle Mean,0.009119263639915264
Bwd IAT Std,0.008973315150180333
Bwd IAT Mean,0.008618609537957895
Idle Min,0.008596791830532137
Flow Bytes/s,0.007055060787476903
Idle Max,0.0062733337272455674
Active Mean,0.0060822008176100294
SYN Flag Count,0.00555275606078929
ACK Flag Count,0.005319507751665281
Fwd Packet Length Min,0.004581186137117763
Fwd PSH Flags,0.0041529951406825165
Bwd Packet Length Min,0.004137973869039387
URG Flag Count,0.0026591439370748193
Protocol,0.0023391791295513495
Idle Std,0.0017902834513560915
Down/Up Ratio,0.0016629445179720728
Active Max,0.0013812766475637397
FIN Flag Count,0.0005360896520308863
Active Std,0.0004449587520851916
CWE Flag Count,2.3897370339097836e-08
Fwd URG Flags,1.0091745232350961e-08
RST Flag Count,2.0554022991831377e-09
ECE Flag Count,5.353487078120974e-18
