class,precision,recall,f1,support
Benign,0.9989883277584151,0.9995085276306936,0.9992483599916939,170915
Bot,0.8297872340425532,0.6290322580645161,0.7155963302752294,124
DDoS,0.99945779866257,0.9995481247175779,0.9995029596493606,11065
DoS GoldenEye,0.9955056179775281,0.9966254218222722,0.9960652051714446,889
DoS Hulk,0.9982529229942212,0.9943775100401606,0.9963114479243511,14940
DoS Slowhttptest,0.9352818371607515,0.9911504424778761,0.9624060150375939,452
DoS slowloris,1.0,0.9913978494623656,0.9956803455723542,465
FTP-Patator,1.0,0.9980506822612085,0.9990243902439024,513
Heartbleed,1.0,1.0,1.0,1
Infiltration,1.0,0.6666666666666666,0.8,3
PortScan,0.9457831325301205,0.9289940828402367,0.9373134328358209,169
SSH-Patator,1.0,0.960431654676259,0.9798165137614679,278
Web Attack � Brute Force,0.734375,0.7401574803149606,0.7372549019607844,127
Web Attack � Sql Injection,0.0,0.0,0.0,2
Web Attack � XSS,0.4166666666666667,0.3508771929824561,0.38095238095238093,57
