true_label,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,340964,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,19204,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1544,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,34661,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,825,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,870,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1190,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,23839,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,884,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0
