true_label,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,273743,25145,1372,1319,6836,1749,2220,1560,6,6946,5284,2636,2635,3026,6487
1,0,294,0,0,0,0,0,0,0,0,0,0,1,0,0
2,11,0,19181,1,5,1,0,0,0,5,0,0,0,0,0
3,0,0,0,1517,0,0,0,0,0,0,0,0,3,24,0
4,18,15,11,10,34590,3,0,0,0,0,0,0,0,14,0
5,1,0,0,4,0,811,7,0,0,0,0,0,0,2,0
6,0,1,0,0,0,11,855,0,0,0,0,2,1,0,0
7,0,0,0,0,1,0,2,1187,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
9,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0
10,0,0,0,0,12,0,23,0,0,0,23803,1,0,0,0
11,0,0,0,0,3,0,0,2,0,0,2,875,0,2,0
12,2,0,0,0,0,0,0,0,0,0,0,9,117,1,97
13,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0
14,1,0,0,0,7,0,0,0,0,0,0,1,17,0,72
