true_label,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,340239,477,0,0,110,4,1,0,0,0,129,0,1,0,3
1,14,281,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4,0,19198,0,2,0,0,0,0,0,0,0,0,0,0
3,2,0,0,1539,3,0,0,0,0,0,0,0,0,0,0
4,14,0,0,2,34644,0,0,0,0,0,1,0,0,0,0
5,2,0,0,0,0,817,6,0,0,0,0,0,0,0,0
6,3,0,0,0,0,0,866,0,0,0,0,0,1,0,0
7,0,0,0,0,0,0,0,1190,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
9,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0
10,5,0,0,0,4,0,0,0,0,0,23830,0,0,0,0
11,3,0,0,0,0,0,0,0,0,0,0,881,0,0,0
12,3,0,0,0,0,0,0,0,0,0,0,0,165,1,57
13,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
14,9,0,0,0,0,0,0,0,0,0,0,0,35,0,54
