true_label,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,340727,29,3,2,73,4,0,0,0,0,125,0,1,0,0
1,93,202,0,0,0,0,0,0,0,0,0,0,0,0,0
2,11,0,19192,0,1,0,0,0,0,0,0,0,0,0,0
3,2,0,0,1539,3,0,0,0,0,0,0,0,0,0,0
4,80,0,1,1,34579,0,0,0,0,0,0,0,0,0,0
5,4,0,0,0,0,815,6,0,0,0,0,0,0,0,0
6,3,0,0,0,0,1,865,0,0,0,0,0,1,0,0
7,1,0,0,0,0,0,0,1189,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
9,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0
10,135,0,0,0,5,0,0,0,0,0,23699,0,0,0,0
11,5,0,0,0,0,0,0,0,0,0,0,879,0,0,0
12,17,0,0,0,0,0,0,0,0,0,0,0,176,0,33
13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,13,0,0,0,0,0,0,0,0,0,0,0,59,0,26
