label,records,percentage,imbalance_ratio_vs_min
DrDoS_NTP,121368,28.13541012260908,2379.764705882353
TFTP,98917,22.930841433476058,1939.549019607843
Benign,97831,22.67908598399058,1918.2549019607843
Syn,49373,11.445600191018867,968.0980392156864
UDP,18090,4.193605967948703,354.7058823529412
DrDoS_UDP,10420,2.4155541285807343,204.31372549019608
UDP-lag,8872,2.056698294507512,173.9607843137255
MSSQL,8523,1.975793458531056,167.11764705882354
DrDoS_MSSQL,6212,1.440059716578073,121.80392156862744
DrDoS_DNS,3669,0.8505439633169591,71.94117647058823
DrDoS_SNMP,2717,0.6298522617422126,53.27450980392157
LDAP,1906,0.4418470411780115,37.372549019607845
DrDoS_LDAP,1440,0.33381938053323,28.235294117647054
Portmap,685,0.1587960247675434,13.431372549019608
NetBIOS,644,0.1492914451829168,12.627450980392156
DrDoS_NetBIOS,598,0.1386277705269941,11.72549019607843
UDPLag,55,0.0127500457842553,1.0784313725490196
WebDDoS,51,0.0118227697272185,1.0
