file,label,records
DNS-testing.parquet,DrDoS_DNS,3669
DNS-testing.parquet,Benign,3034
LDAP-testing.parquet,DrDoS_LDAP,1440
LDAP-testing.parquet,Benign,1391
LDAP-training.parquet,Benign,4585
LDAP-training.parquet,LDAP,1884
LDAP-training.parquet,NetBIOS,246
MSSQL-testing.parquet,DrDoS_MSSQL,6212
MSSQL-testing.parquet,Benign,1871
MSSQL-training.parquet,MSSQL,8378
MSSQL-training.parquet,Benign,2574
MSSQL-training.parquet,LDAP,22
NTP-testing.parquet,DrDoS_NTP,121368
NTP-testing.parquet,Benign,13306
NetBIOS-testing.parquet,Benign,1627
NetBIOS-testing.parquet,DrDoS_NetBIOS,598
NetBIOS-training.parquet,Benign,1233
NetBIOS-training.parquet,NetBIOS,398
Portmap-training.parquet,Benign,4420
Portmap-training.parquet,Portmap,685
SNMP-testing.parquet,DrDoS_SNMP,2717
SNMP-testing.parquet,Benign,1301
Syn-testing.parquet,Syn,533
Syn-testing.parquet,Benign,374
Syn-training.parquet,Syn,43302
Syn-training.parquet,Benign,27034
TFTP-testing.parquet,TFTP,98917
TFTP-testing.parquet,Benign,22916
UDP-testing.parquet,DrDoS_UDP,10420
UDP-testing.parquet,Benign,2042
UDP-training.parquet,UDP,14792
UDP-training.parquet,Benign,2833
UDP-training.parquet,MSSQL,145
UDPLag-testing.parquet,UDP-lag,8872
UDPLag-testing.parquet,Benign,3542
UDPLag-testing.parquet,WebDDoS,51
UDPLag-training.parquet,Syn,5538
UDPLag-training.parquet,Benign,3748
UDPLag-training.parquet,UDP,3298
UDPLag-training.parquet,UDPLag,55
