attack_class,count,percentage_of_attacks
DoS Hulk,231073,41.43722002847685
PortScan,158930,28.50015959945916
DDoS,128027,22.95847186207737
DoS GoldenEye,10293,1.8457946439138808
FTP-Patator,7938,1.4234837154754092
SSH-Patator,5897,1.0574809108287335
DoS slowloris,5796,1.039369062093156
DoS Slowhttptest,5499,0.9861094672964568
Bot,1966,0.3525534120212464
Web Attack � Brute Force,1507,0.2702431291536207
Web Attack � XSS,652,0.1169200532237297
Infiltration,36,0.0064557084602059
Web Attack � Sql Injection,21,0.0037658299351201
Heartbleed,11,0.0019725775850629
