Class,count,percentage
BENIGN,2273097,80.30036637024273
DoS Hulk,231073,8.162980531966342
PortScan,158930,5.614427024989553
DDoS,128027,4.522734843820156
DoS GoldenEye,10293,0.3636147824087174
FTP-Patator,7938,0.280421076727912
SSH-Patator,5897,0.2083198651378807
DoS slowloris,5796,0.2047518972933961
DoS Slowhttptest,5499,0.1942599522457531
Bot,1966,0.0694517305173942
Web Attack � Brute Force,1507,0.053236906352855
Web Attack � XSS,652,0.0230328221247919
Infiltration,36,0.0012717509148658
Web Attack � Sql Injection,21,0.0007418547003383
Heartbleed,11,0.0003885905573201
