label,record_count,percentage
Benign,13484708,83.06971193621487
DDOS attack-HOIC,686012,4.2260328681041255
DDoS attacks-LOIC-HTTP,576191,3.549503659273867
DoS attacks-Hulk,461912,2.8455118775935597
Bot,286191,1.763019557319096
FTP-BruteForce,193360,1.1911536757033605
SSH-Bruteforce,187589,1.1556026420744605
Infilteration,161934,0.9975604019515304
DoS attacks-SlowHTTPTest,139890,0.8617629690429409
DoS attacks-GoldenEye,41508,0.2557013175997883
DoS attacks-Slowloris,10990,0.067701587174079
DDOS attack-LOIC-UDP,1730,0.0106573017116612
Brute Force -Web,611,0.0037639371941185
Brute Force -XSS,230,0.0014168667015503
SQL Injection,87,0.0005359452305864
Label,59,0.0003634571103976
