label,record_count,percentage,percentage_of_attack_traffic
DDOS attack-HOIC,686012,4.2260328681041255,24.961376039099164
DDoS attacks-LOIC-HTTP,576191,3.549503659273867,20.965406175612944
DoS attacks-Hulk,461912,2.8455118775935597,16.80722659220593
Bot,286191,1.763019557319096,10.413405552681043
FTP-BruteForce,193360,1.1911536757033605,7.035637380862456
SSH-Bruteforce,187589,1.1556026420744605,6.825652568466111
Infilteration,161934,0.9975604019515304,5.8921643754270825
DoS attacks-SlowHTTPTest,139890,0.8617629690429409,5.09006678324808
DoS attacks-GoldenEye,41508,0.2557013175997883,1.510318765022956
DoS attacks-Slowloris,10990,0.067701587174079,0.3998844374000744
DDOS attack-LOIC-UDP,1730,0.0106573017116612,0.0629481416471454
Brute Force -Web,611,0.0037639371941185,0.0222319737262461
Brute Force -XSS,230,0.0014168667015503,0.0083688280802563
SQL Injection,87,0.0005359452305864,0.0031656001868795
Label,59,0.0003634571103976,0.0021467863336309
