name,source,output,category,rows,columns,status,note
cicddos2019_17_class_distribution,cicddos2019/17_class_distribution.csv,class_analysis/cicddos2019_17_class_distribution.csv,class_analysis,18,4,exported,
cicddos2019_17_class_distribution_by_file,cicddos2019/17_class_distribution_by_file.csv,class_analysis/cicddos2019_17_class_distribution_by_file.csv,class_analysis,40,3,exported,
cicddos2019_17_dataset_role,cicddos2019/17_dataset_role.csv,supporting/cicddos2019_17_dataset_role.csv,supporting,1,4,exported,
cicddos2019_17_dataset_summary,cicddos2019/17_dataset_summary.csv,dataset_quality/cicddos2019_17_dataset_summary.csv,dataset_quality,1,6,exported,
cicddos2019_17_duplicate_summary,cicddos2019/17_duplicate_summary.csv,dataset_quality/cicddos2019_17_duplicate_summary.csv,dataset_quality,1,3,exported,
cicddos2019_17_duplicates_by_file,cicddos2019/17_duplicates_by_file.csv,dataset_quality/cicddos2019_17_duplicates_by_file.csv,dataset_quality,17,3,exported,
cicddos2019_17_feature_correlation_matrix,cicddos2019/17_feature_correlation_matrix.csv,feature_analysis/cicddos2019_17_feature_correlation_matrix.csv,feature_analysis,77,77,exported,
cicddos2019_17_feature_quality,cicddos2019/17_feature_quality.csv,feature_analysis/cicddos2019_17_feature_quality.csv,feature_analysis,78,5,exported,
cicddos2019_17_file_data_quality,cicddos2019/17_file_data_quality.csv,dataset_quality/cicddos2019_17_file_data_quality.csv,dataset_quality,17,6,exported,
cicddos2019_17_file_inventory,cicddos2019/17_file_inventory.csv,dataset_quality/cicddos2019_17_file_inventory.csv,dataset_quality,17,5,exported,
cicddos2019_17_high_correlation_pairs,cicddos2019/17_high_correlation_pairs.csv,feature_analysis/cicddos2019_17_high_correlation_pairs.csv,feature_analysis,50,4,exported,
cicddos2019_17_ml_suitability_assessment,cicddos2019/17_ml_suitability_assessment.csv,supporting/cicddos2019_17_ml_suitability_assessment.csv,supporting,11,3,exported,
cicddos2019_17_numeric_feature_statistics,cicddos2019/17_numeric_feature_statistics.csv,supporting/cicddos2019_17_numeric_feature_statistics.csv,supporting,77,12,exported,
cicddos2019_17_preprocessing_recommendations,cicddos2019/17_preprocessing_recommendations.csv,final_decision/cicddos2019_17_preprocessing_recommendations.csv,final_decision,10,4,exported,
cicddos2019_17_quality_summary,cicddos2019/17_quality_summary.csv,supporting/cicddos2019_17_quality_summary.csv,supporting,1,5,exported,
cicddos2019_17_schema,cicddos2019/17_schema.csv,dataset_quality/cicddos2019_17_schema.csv,dataset_quality,78,5,exported,
cicids2017_02_feature_data_quality_feature_quality_summary,cicids2017/02_feature_data_quality/feature_quality_summary.csv,feature_analysis/cicids2017_02_feature_data_quality_feature_quality_summary.csv,feature_analysis,79,10,exported,
cicids2017_02_feature_data_quality_high_correlation_pairs,cicids2017/02_feature_data_quality/high_correlation_pairs.csv,feature_analysis/cicids2017_02_feature_data_quality_high_correlation_pairs.csv,feature_analysis,39,3,exported,
cicids2017_02_feature_data_quality_infinite_value_summary,cicids2017/02_feature_data_quality/infinite_value_summary.csv,dataset_quality/cicids2017_02_feature_data_quality_infinite_value_summary.csv,dataset_quality,78,2,exported,
cicids2017_02_feature_data_quality_missing_value_summary,cicids2017/02_feature_data_quality/missing_value_summary.csv,dataset_quality/cicids2017_02_feature_data_quality_missing_value_summary.csv,dataset_quality,79,2,exported,
cicids2017_02_feature_data_quality_near_constant_features,cicids2017/02_feature_data_quality/near_constant_features.csv,feature_analysis/cicids2017_02_feature_data_quality_near_constant_features.csv,feature_analysis,12,2,exported,
cicids2017_02_feature_data_quality_schema_consistency_report,cicids2017/02_feature_data_quality/schema_consistency_report.csv,dataset_quality/cicids2017_02_feature_data_quality_schema_consistency_report.csv,dataset_quality,8,5,exported,
cicids2017_03_class_distribution_attack_class_distribution,cicids2017/03_class_distribution/attack_class_distribution.csv,class_analysis/cicids2017_03_class_distribution_attack_class_distribution.csv,class_analysis,14,3,exported,
cicids2017_03_class_distribution_class_file_presence,cicids2017/03_class_distribution/class_file_presence.csv,class_analysis/cicids2017_03_class_distribution_class_file_presence.csv,class_analysis,15,2,exported,
cicids2017_03_class_distribution_class_imbalance_summary,cicids2017/03_class_distribution/class_imbalance_summary.csv,class_analysis/cicids2017_03_class_distribution_class_imbalance_summary.csv,class_analysis,14,2,exported,
cicids2017_03_class_distribution_class_presence_matrix,cicids2017/03_class_distribution/class_presence_matrix.csv,class_analysis/cicids2017_03_class_distribution_class_presence_matrix.csv,class_analysis,8,16,exported,
cicids2017_03_class_distribution_overall_class_distribution,cicids2017/03_class_distribution/overall_class_distribution.csv,class_analysis/cicids2017_03_class_distribution_overall_class_distribution.csv,class_analysis,15,3,exported,
cicids2017_03_class_distribution_per_file_class_distribution,cicids2017/03_class_distribution/per_file_class_distribution.csv,class_analysis/cicids2017_03_class_distribution_per_file_class_distribution.csv,class_analysis,22,4,exported,
cicids2017_04_feature_distribution_feature_distribution_report,cicids2017/04_feature_distribution/feature_distribution_report.csv,feature_analysis/cicids2017_04_feature_distribution_feature_distribution_report.csv,feature_analysis,78,18,exported,
cicids2017_04_feature_distribution_feature_distribution_summary,cicids2017/04_feature_distribution/feature_distribution_summary.csv,feature_analysis/cicids2017_04_feature_distribution_feature_distribution_summary.csv,feature_analysis,78,15,exported,
cicids2017_04_feature_distribution_feature_outlier_summary,cicids2017/04_feature_distribution/feature_outlier_summary.csv,feature_analysis/cicids2017_04_feature_distribution_feature_outlier_summary.csv,feature_analysis,78,4,exported,
cicids2017_04_feature_distribution_feature_percentiles,cicids2017/04_feature_distribution/feature_percentiles.csv,feature_analysis/cicids2017_04_feature_distribution_feature_percentiles.csv,feature_analysis,78,9,exported,
cicids2017_04_feature_distribution_highly_skewed_features,cicids2017/04_feature_distribution/highly_skewed_features.csv,feature_analysis/cicids2017_04_feature_distribution_highly_skewed_features.csv,feature_analysis,67,15,exported,
cicids2017_04_feature_distribution_zero_dominated_features,cicids2017/04_feature_distribution/zero_dominated_features.csv,feature_analysis/cicids2017_04_feature_distribution_zero_dominated_features.csv,feature_analysis,18,14,exported,
cicids2017_05_preprocessing_candidate_features,cicids2017/05_preprocessing/candidate_features.csv,preprocessing/cicids2017_05_preprocessing_candidate_features.csv,preprocessing,70,2,exported,
cicids2017_05_preprocessing_dropped_features,cicids2017/05_preprocessing/dropped_features.csv,preprocessing/cicids2017_05_preprocessing_dropped_features.csv,preprocessing,8,3,exported,
cicids2017_05_preprocessing_preprocessing_decisions,cicids2017/05_preprocessing/preprocessing_decisions.csv,preprocessing/cicids2017_05_preprocessing_preprocessing_decisions.csv,preprocessing,10,3,exported,
cicids2017_05_preprocessing_preprocessing_summary,cicids2017/05_preprocessing/preprocessing_summary.csv,preprocessing/cicids2017_05_preprocessing_preprocessing_summary.csv,preprocessing,8,2,exported,
cicids2017_05_preprocessing_suspicious_features,cicids2017/05_preprocessing/suspicious_features.csv,preprocessing/cicids2017_05_preprocessing_suspicious_features.csv,preprocessing,3,4,exported,
cicids2017_05_preprocessing_target_mapping,cicids2017/05_preprocessing/target_mapping.csv,preprocessing/cicids2017_05_preprocessing_target_mapping.csv,preprocessing,15,2,exported,
cicids2017_06_ml_suitability_class_distribution_assessment,cicids2017/06_ml_suitability/class_distribution_assessment.csv,class_analysis/cicids2017_06_ml_suitability_class_distribution_assessment.csv,class_analysis,4,4,exported,
cicids2017_06_ml_suitability_computational_feasibility_assessment,cicids2017/06_ml_suitability/computational_feasibility_assessment.csv,supporting/cicids2017_06_ml_suitability_computational_feasibility_assessment.csv,supporting,5,3,exported,
cicids2017_06_ml_suitability_data_quality_assessment,cicids2017/06_ml_suitability/data_quality_assessment.csv,dataset_quality/cicids2017_06_ml_suitability_data_quality_assessment.csv,dataset_quality,6,4,exported,
cicids2017_06_ml_suitability_dataset_metrics,cicids2017/06_ml_suitability/dataset_metrics.csv,supporting/cicids2017_06_ml_suitability_dataset_metrics.csv,supporting,1,12,exported,
cicids2017_06_ml_suitability_feature_suitability_assessment,cicids2017/06_ml_suitability/feature_suitability_assessment.csv,supporting/cicids2017_06_ml_suitability_feature_suitability_assessment.csv,supporting,5,4,exported,
cicids2017_06_ml_suitability_ml_suitability_scorecard,cicids2017/06_ml_suitability/ml_suitability_scorecard.csv,supporting/cicids2017_06_ml_suitability_ml_suitability_scorecard.csv,supporting,11,3,exported,
cicids2017_14_final_preparation_final_class_distribution,cicids2017/14_final_preparation/final_class_distribution.csv,class_analysis/cicids2017_14_final_preparation_final_class_distribution.csv,class_analysis,45,3,exported,
