file,records,duplicate_rows
DNS-testing.parquet,6703,0
LDAP-testing.parquet,2831,0
LDAP-training.parquet,6715,0
MSSQL-testing.parquet,8083,0
MSSQL-training.parquet,10974,0
NTP-testing.parquet,134674,0
NetBIOS-testing.parquet,2225,0
NetBIOS-training.parquet,1631,0
Portmap-training.parquet,5105,0
SNMP-testing.parquet,4018,0
Syn-testing.parquet,907,0
Syn-training.parquet,70336,0
TFTP-testing.parquet,121833,0
UDP-testing.parquet,12462,0
UDP-training.parquet,17770,0
UDPLag-testing.parquet,12465,0
UDPLag-training.parquet,12639,0
