file,format,records,columns,file_size_mb
DNS-testing.parquet,parquet,6703,78,0.487
LDAP-testing.parquet,parquet,2831,78,0.214
LDAP-training.parquet,parquet,6715,78,0.591
MSSQL-testing.parquet,parquet,8083,78,0.402
MSSQL-training.parquet,parquet,10974,78,0.554
NTP-testing.parquet,parquet,134674,78,9.047
NetBIOS-testing.parquet,parquet,2225,78,0.242
NetBIOS-training.parquet,parquet,1631,78,0.213
Portmap-training.parquet,parquet,5105,78,0.544
SNMP-testing.parquet,parquet,4018,78,0.256
Syn-testing.parquet,parquet,907,78,0.131
Syn-training.parquet,parquet,70336,78,8.209
TFTP-testing.parquet,parquet,121833,78,7.864
UDP-testing.parquet,parquet,12462,78,0.953
UDP-training.parquet,parquet,17770,78,1.321
UDPLag-testing.parquet,parquet,12465,78,1.211
UDPLag-training.parquet,parquet,12639,78,1.363
