feature_1,feature_2,correlation,absolute_correlation
Total Fwd Packets,Subflow Fwd Packets,1.0,1.0
Total Backward Packets,Subflow Bwd Packets,1.0,1.0
Bwd Packets Length Total,Subflow Bwd Bytes,1.0,1.0
Fwd Packets Length Total,Subflow Fwd Bytes,1.0,1.0
Fwd Packet Length Mean,Avg Fwd Segment Size,1.0,1.0
Bwd Packet Length Mean,Avg Bwd Segment Size,1.0,1.0
Fwd PSH Flags,RST Flag Count,1.0,1.0
Flow Duration,Fwd IAT Total,0.9988705498589048,0.9988705498589048
Flow IAT Min,Fwd IAT Min,0.9984410487632572,0.9984410487632572
Flow Packets/s,Fwd Packets/s,0.9982111415277114,0.9982111415277114
Flow IAT Max,Fwd IAT Max,0.9966183333688388,0.9966183333688388
Fwd Packet Length Min,Packet Length Min,0.9965458047752732,0.9965458047752732
Packet Length Mean,Avg Packet Size,0.9881435022986108,0.9881435022986108
Bwd Packets Length Total,Subflow Bwd Packets,0.9873351704406308,0.9873351704406308
Total Backward Packets,Subflow Bwd Bytes,0.9873351704406308,0.9873351704406308
Subflow Bwd Packets,Subflow Bwd Bytes,0.9873351704406308,0.9873351704406308
Total Backward Packets,Bwd Packets Length Total,0.9873351704406308,0.9873351704406308
Flow IAT Std,Fwd IAT Std,0.9854193868214098,0.9854193868214098
Fwd IAT Max,Idle Max,0.9853291644951132,0.9853291644951132
Flow IAT Max,Idle Max,0.9851064433309328,0.9851064433309328
Fwd Packet Length Min,Avg Fwd Segment Size,0.9801736613867096,0.9801736613867096
Fwd Packet Length Min,Fwd Packet Length Mean,0.9801736613867096,0.9801736613867096
Idle Mean,Idle Min,0.9800124668021244,0.9800124668021244
Idle Mean,Idle Max,0.979930009571428,0.979930009571428
Packet Length Mean,Avg Fwd Segment Size,0.9766129540407468,0.9766129540407468
Fwd Packet Length Mean,Packet Length Mean,0.9766129540407468,0.9766129540407468
Fwd Packet Length Mean,Packet Length Min,0.9763857557701696,0.9763857557701696
Packet Length Min,Avg Fwd Segment Size,0.9763857557701696,0.9763857557701696
Avg Packet Size,Avg Fwd Segment Size,0.9754290756214136,0.9754290756214136
Fwd Packet Length Mean,Avg Packet Size,0.9754290756214136,0.9754290756214136
Bwd IAT Mean,Bwd IAT Std,0.9687244792141456,0.9687244792141456
Packet Length Min,Avg Packet Size,0.9680445193599164,0.9680445193599164
Fwd Packet Length Min,Avg Packet Size,0.9675189573105633,0.9675189573105633
Flow IAT Mean,Fwd IAT Mean,0.9658142219859642,0.9658142219859642
Flow IAT Max,Idle Mean,0.9658051894671488,0.9658051894671488
Fwd IAT Max,Idle Mean,0.9655542634458,0.9655542634458
Packet Length Min,Packet Length Mean,0.95710253978463,0.95710253978463
Fwd Packet Length Min,Packet Length Mean,0.9570024112176868,0.9570024112176868
Flow IAT Std,Fwd IAT Mean,0.9491955318132984,0.9491955318132984
Fwd IAT Mean,Fwd IAT Std,0.9368221214424098,0.9368221214424098
Flow IAT Mean,Flow IAT Std,0.932001748358222,0.932001748358222
Fwd IAT Std,Fwd IAT Max,0.9295162678868218,0.9295162678868218
Bwd Packet Length Max,Bwd Packet Length Std,0.9281590188047664,0.9281590188047664
Flow IAT Max,Fwd IAT Std,0.9260689564431148,0.9260689564431148
Idle Max,Idle Min,0.9238867165366388,0.9238867165366388
Bwd Packet Length Std,Packet Length Std,0.9153934313071584,0.9153934313071584
Fwd IAT Std,Idle Max,0.9141081075118084,0.9141081075118084
Bwd IAT Std,Bwd IAT Max,0.9119181459727584,0.9119181459727584
Flow IAT Max,Idle Min,0.9111843738925928,0.9111843738925928
Fwd IAT Max,Idle Min,0.9104373910525746,0.9104373910525746
