lower_outliers,upper_outliers,total_outliers,outlier_percentage
0,55650,55650,22.26
0,47324,47324,18.9296
0,29437,29437,11.7748
0,27280,27280,10.912
0,39140,39140,15.656
0,54665,54665,21.866
0,58570,58570,23.428
0,1361,1361,0.5444
0,16676,16676,6.6704
0,58565,58565,23.426
0,56281,56281,22.5124
0,7524,7524,3.0096000000000003
0,41681,41681,16.6724
0,57794,57794,23.1176
5,46966,46971,18.7884
8,26873,26881,10.7524
0,50665,50665,20.266
0,53279,53279,21.3116
0,49115,49115,19.646
0,45339,45339,18.1356
0,59057,59057,23.6228
0,59545,59545,23.818
0,58386,58386,23.3544
0,58871,58871,23.5484
0,47333,47333,18.9332
0,50174,50174,20.0696
0,49968,49968,19.9872
0,53129,53129,21.2516
0,50322,50322,20.1288
0,24890,24890,9.956
0,11666,11666,4.666399999999999
0,0,0,0.0
0,31,31,0.0124
0,0,0,0.0
0,33912,33912,13.564799999999998
0,31263,31263,12.5052
0,29936,29936,11.9744
0,22399,22399,8.9596
0,903,903,0.3612
0,55122,55122,22.0488
0,40784,40784,16.3136
0,49559,49559,19.8236
0,57863,57863,23.1452
0,8937,8937,3.5748
0,11666,11666,4.666399999999999
0,61,61,0.0243999999999999
0,0,0,0.0
0,0,0,0.0
0,23821,23821,9.5284
0,31,31,0.0124
0,61,61,0.0243999999999999
0,2419,2419,0.9676
0,36037,36037,14.4148
0,16676,16676,6.6704
0,41681,41681,16.6724
0,33912,33912,13.564799999999998
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,29437,29437,11.7748
0,39140,39140,15.656
0,27280,27280,10.912
0,54665,54665,21.866
0,38748,38748,15.499199999999998
0,25102,25102,10.0408
0,27413,27413,10.9652
161,26,187,0.0747999999999999
0,49125,49125,19.65
0,18183,18183,7.2732
0,49125,49125,19.65
0,49125,49125,19.65
0,49905,49905,19.962
0,20252,20252,8.1008
0,49905,49905,19.962
0,49905,49905,19.962
