true_label,predicted_label,count
Benign,Benign,170831
Bot,Benign,46
DDoS,Benign,5
DoS GoldenEye,Benign,3
DoS Hulk,Benign,82
DoS Slowhttptest,Benign,3
DoS slowloris,Benign,2
FTP-Patator,Benign,1
Heartbleed,Benign,0
Infiltration,Benign,1
PortScan,Benign,8
SSH-Patator,Benign,11
Web Attack � Brute Force,Benign,5
Web Attack � Sql Injection,Benign,1
Web Attack � XSS,Benign,5
Benign,Bot,16
Bot,Bot,78
DDoS,Bot,0
DoS GoldenEye,Bot,0
DoS Hulk,Bot,0
DoS Slowhttptest,Bot,0
DoS slowloris,Bot,0
FTP-Patator,Bot,0
Heartbleed,Bot,0
Infiltration,Bot,0
PortScan,Bot,0
SSH-Patator,Bot,0
Web Attack � Brute Force,Bot,0
Web Attack � Sql Injection,Bot,0
Web Attack � XSS,Bot,0
Benign,DDoS,6
Bot,DDoS,0
DDoS,DDoS,11060
DoS GoldenEye,DDoS,0
DoS Hulk,DDoS,0
DoS Slowhttptest,DDoS,0
DoS slowloris,DDoS,0
FTP-Patator,DDoS,0
Heartbleed,DDoS,0
Infiltration,DDoS,0
PortScan,DDoS,0
SSH-Patator,DDoS,0
Web Attack � Brute Force,DDoS,0
Web Attack � Sql Injection,DDoS,0
Web Attack � XSS,DDoS,0
Benign,DoS GoldenEye,1
Bot,DoS GoldenEye,0
DDoS,DoS GoldenEye,0
DoS GoldenEye,DoS GoldenEye,886
DoS Hulk,DoS GoldenEye,0
DoS Slowhttptest,DoS GoldenEye,1
DoS slowloris,DoS GoldenEye,1
FTP-Patator,DoS GoldenEye,0
Heartbleed,DoS GoldenEye,0
Infiltration,DoS GoldenEye,0
PortScan,DoS GoldenEye,0
SSH-Patator,DoS GoldenEye,0
Web Attack � Brute Force,DoS GoldenEye,0
Web Attack � Sql Injection,DoS GoldenEye,1
Web Attack � XSS,DoS GoldenEye,0
Benign,DoS Hulk,24
Bot,DoS Hulk,0
DDoS,DoS Hulk,0
DoS GoldenEye,DoS Hulk,0
DoS Hulk,DoS Hulk,14856
DoS Slowhttptest,DoS Hulk,0
DoS slowloris,DoS Hulk,0
FTP-Patator,DoS Hulk,0
Heartbleed,DoS Hulk,0
Infiltration,DoS Hulk,0
PortScan,DoS Hulk,2
SSH-Patator,DoS Hulk,0
Web Attack � Brute Force,DoS Hulk,0
Web Attack � Sql Injection,DoS Hulk,0
Web Attack � XSS,DoS Hulk,0
Benign,DoS Slowhttptest,30
Bot,DoS Slowhttptest,0
DDoS,DoS Slowhttptest,0
DoS GoldenEye,DoS Slowhttptest,0
DoS Hulk,DoS Slowhttptest,0
DoS Slowhttptest,DoS Slowhttptest,448
DoS slowloris,DoS Slowhttptest,1
FTP-Patator,DoS Slowhttptest,0
Heartbleed,DoS Slowhttptest,0
Infiltration,DoS Slowhttptest,0
PortScan,DoS Slowhttptest,0
SSH-Patator,DoS Slowhttptest,0
Web Attack � Brute Force,DoS Slowhttptest,0
Web Attack � Sql Injection,DoS Slowhttptest,0
Web Attack � XSS,DoS Slowhttptest,0
Benign,DoS slowloris,0
Bot,DoS slowloris,0
DDoS,DoS slowloris,0
DoS GoldenEye,DoS slowloris,0
DoS Hulk,DoS slowloris,0
DoS Slowhttptest,DoS slowloris,0
DoS slowloris,DoS slowloris,461
FTP-Patator,DoS slowloris,0
Heartbleed,DoS slowloris,0
Infiltration,DoS slowloris,0
PortScan,DoS slowloris,0
SSH-Patator,DoS slowloris,0
Web Attack � Brute Force,DoS slowloris,0
Web Attack � Sql Injection,DoS slowloris,0
Web Attack � XSS,DoS slowloris,0
Benign,FTP-Patator,0
Bot,FTP-Patator,0
DDoS,FTP-Patator,0
DoS GoldenEye,FTP-Patator,0
DoS Hulk,FTP-Patator,0
DoS Slowhttptest,FTP-Patator,0
DoS slowloris,FTP-Patator,0
FTP-Patator,FTP-Patator,512
Heartbleed,FTP-Patator,0
Infiltration,FTP-Patator,0
PortScan,FTP-Patator,0
SSH-Patator,FTP-Patator,0
Web Attack � Brute Force,FTP-Patator,0
Web Attack � Sql Injection,FTP-Patator,0
Web Attack � XSS,FTP-Patator,0
Benign,Heartbleed,0
Bot,Heartbleed,0
DDoS,Heartbleed,0
DoS GoldenEye,Heartbleed,0
DoS Hulk,Heartbleed,0
DoS Slowhttptest,Heartbleed,0
DoS slowloris,Heartbleed,0
FTP-Patator,Heartbleed,0
Heartbleed,Heartbleed,1
Infiltration,Heartbleed,0
PortScan,Heartbleed,0
SSH-Patator,Heartbleed,0
Web Attack � Brute Force,Heartbleed,0
Web Attack � Sql Injection,Heartbleed,0
Web Attack � XSS,Heartbleed,0
Benign,Infiltration,0
Bot,Infiltration,0
DDoS,Infiltration,0
DoS GoldenEye,Infiltration,0
DoS Hulk,Infiltration,0
DoS Slowhttptest,Infiltration,0
DoS slowloris,Infiltration,0
FTP-Patator,Infiltration,0
Heartbleed,Infiltration,0
Infiltration,Infiltration,2
PortScan,Infiltration,0
SSH-Patator,Infiltration,0
Web Attack � Brute Force,Infiltration,0
Web Attack � Sql Injection,Infiltration,0
Web Attack � XSS,Infiltration,0
Benign,PortScan,7
Bot,PortScan,0
DDoS,PortScan,0
DoS GoldenEye,PortScan,0
DoS Hulk,PortScan,2
DoS Slowhttptest,PortScan,0
DoS slowloris,PortScan,0
FTP-Patator,PortScan,0
Heartbleed,PortScan,0
Infiltration,PortScan,0
PortScan,PortScan,157
SSH-Patator,PortScan,0
Web Attack � Brute Force,PortScan,0
Web Attack � Sql Injection,PortScan,0
Web Attack � XSS,PortScan,0
Benign,SSH-Patator,0
