class,precision,recall,f1,support
Benign,0.9989883277584152,0.9995085276306936,0.999248359991694,170915
Bot,0.8297872340425532,0.6290322580645161,0.7155963302752294,124
DDoS,0.99945779866257,0.999548124717578,0.9995029596493606,11065
DoS GoldenEye,0.995505617977528,0.9966254218222722,0.9960652051714446,889
DoS Hulk,0.9982529229942212,0.9943775100401606,0.9963114479243512,14940
DoS Slowhttptest,0.9352818371607516,0.991150442477876,0.962406015037594,452
DoS slowloris,1.0,0.9913978494623656,0.9956803455723542,465
FTP-Patator,1.0,0.9980506822612084,0.9990243902439024,513
Heartbleed,1.0,1.0,1.0,1
Infiltration,1.0,0.6666666666666666,0.8,3
PortScan,0.9457831325301204,0.9289940828402368,0.9373134328358208,169
SSH-Patator,1.0,0.960431654676259,0.979816513761468,278
Web Attack � Brute Force,0.734375,0.7401574803149606,0.7372549019607844,127
Web Attack � Sql Injection,0.0,0.0,0.0,2
Web Attack � XSS,0.4166666666666667,0.3508771929824561,0.3809523809523809,57
