true_label,predicted_label,count
0,0,273743
1,0,0
2,0,11
3,0,0
4,0,18
5,0,1
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,2
13,0,0
14,0,1
0,1,25145
1,1,294
2,1,0
3,1,0
4,1,15
5,1,0
6,1,1
7,1,0
8,1,0
9,1,0
10,1,0
11,1,0
12,1,0
13,1,0
14,1,0
0,2,1372
1,2,0
2,2,19181
3,2,0
4,2,11
5,2,0
6,2,0
7,2,0
8,2,0
9,2,0
10,2,0
11,2,0
12,2,0
13,2,0
14,2,0
0,3,1319
1,3,0
2,3,1
3,3,1517
4,3,10
5,3,4
6,3,0
7,3,0
8,3,0
9,3,0
10,3,0
11,3,0
12,3,0
13,3,0
14,3,0
0,4,6836
1,4,0
2,4,5
3,4,0
4,4,34590
5,4,0
6,4,0
7,4,1
8,4,0
9,4,0
10,4,12
11,4,3
12,4,0
13,4,0
14,4,7
0,5,1749
1,5,0
2,5,1
3,5,0
4,5,3
5,5,811
6,5,11
7,5,0
8,5,0
9,5,1
10,5,0
11,5,0
12,5,0
13,5,0
14,5,0
0,6,2220
1,6,0
2,6,0
3,6,0
4,6,0
5,6,7
6,6,855
7,6,2
8,6,0
9,6,0
10,6,23
11,6,0
12,6,0
13,6,0
14,6,0
0,7,1560
1,7,0
2,7,0
3,7,0
4,7,0
5,7,0
6,7,0
7,7,1187
8,7,0
9,7,0
10,7,0
11,7,2
12,7,0
13,7,0
14,7,0
0,8,6
1,8,0
2,8,0
3,8,0
4,8,0
5,8,0
6,8,0
7,8,0
8,8,2
9,8,0
10,8,0
11,8,0
12,8,0
13,8,0
14,8,0
0,9,6946
1,9,0
2,9,5
3,9,0
4,9,0
5,9,0
6,9,0
7,9,0
8,9,0
9,9,5
10,9,0
11,9,0
12,9,0
13,9,0
14,9,0
0,10,5284
1,10,0
2,10,0
3,10,0
4,10,0
5,10,0
6,10,0
7,10,0
8,10,0
9,10,0
10,10,23803
11,10,2
12,10,0
13,10,0
14,10,0
0,11,2636
1,11,0
2,11,0
3,11,0
4,11,0
5,11,0
6,11,2
7,11,0
8,11,0
9,11,0
10,11,1
11,11,875
12,11,9
13,11,2
14,11,1
0,12,2635
1,12,1
2,12,0
3,12,3
4,12,0
5,12,0
6,12,1
7,12,0
8,12,0
9,12,0
10,12,0
11,12,0
12,12,117
13,12,0
14,12,17
0,13,3026
1,13,0
2,13,0
3,13,24
4,13,14
5,13,2
6,13,0
7,13,0
8,13,0
9,13,0
10,13,0
11,13,2
12,13,1
13,13,1
14,13,0
0,14,6487
1,14,0
2,14,0
3,14,0
4,14,0
5,14,0
6,14,0
7,14,0
8,14,0
9,14,0
10,14,0
11,14,0
12,14,97
13,14,0
14,14,72
