model,label,precision,recall,f1-score,support
LogisticRegression,0,0.9998794635030096,0.8028501542684858,0.8905976510394639,340964.0
LogisticRegression,1,0.0115497937536829,0.9966101694915256,0.0228349514563106,295.0
LogisticRegression,2,0.932746547364326,0.9988023328473234,0.9646449406558036,19204.0
LogisticRegression,3,0.5320940021045247,0.9825129533678756,0.69032992036405,1544.0
LogisticRegression,4,0.8344188739325518,0.9979515882403854,0.9088878670432896,34661.0
LogisticRegression,5,0.3148291925465838,0.983030303030303,0.4769185533666568,825.0
LogisticRegression,6,0.275185065980045,0.9827586206896552,0.429972340960523,870.0
LogisticRegression,7,0.4317933794106948,0.9974789915966388,0.6026910383346027,1190.0
LogisticRegression,8,0.25,1.0,0.4,2.0
LogisticRegression,9,0.0007188039102932,0.8333333333333334,0.0014363688595231,6.0
LogisticRegression,10,0.8182818247447489,0.9984898695415076,0.8994483071342201,23839.0
LogisticRegression,11,0.2481565513329552,0.9898190045248868,0.3968253968253968,884.0
LogisticRegression,12,0.0421773612112472,0.5176991150442478,0.078,226.0
LogisticRegression,13,0.0003257328990228,0.3333333333333333,0.0006508298080052,3.0
LogisticRegression,14,0.0108173076923076,0.7346938775510204,0.0213206988451288,98.0
