feature,importance
Init Bwd Win Bytes,0.0445373742443737
Fwd Packet Length Max,0.0381837491039094
Flow IAT Mean,0.0307234755161389
Init Fwd Win Bytes,0.0282188405325647
Avg Bwd Segment Size,0.0269652703476642
Subflow Bwd Bytes,0.025931870855646
Bwd Packet Length Max,0.0254301367511612
Flow IAT Max,0.0254222368856864
Bwd Packet Length Mean,0.0251301129769517
Flow Duration,0.0247246937619362
Bwd Header Length,0.0245404484901745
Bwd Packets/s,0.0245154254782905
Flow IAT Std,0.0242282969252726
Fwd Seg Size Min,0.0231634936498871
Flow Packets/s,0.0222753273462107
Bwd Packets Length Total,0.0217659757922897
Fwd Packets/s,0.0207743467772478
Fwd IAT Mean,0.0205436554782411
Fwd IAT Std,0.0203439545835258
Fwd IAT Max,0.0202636209827087
Subflow Bwd Packets,0.019791898426575
Total Backward Packets,0.0193194531435931
Fwd IAT Total,0.0191442958512781
Packet Length Max,0.0186837955854101
Avg Fwd Segment Size,0.0183310247605408
Fwd Packet Length Std,0.0182350099256644
Packet Length Mean,0.0179166018628027
Fwd Act Data Packets,0.0175825952450201
Avg Packet Size,0.0175287461541807
Packet Length Std,0.0174343689147183
Subflow Fwd Bytes,0.0170348658829319
Fwd IAT Min,0.0164485739855308
Packet Length Variance,0.0164274350306468
Bwd Packet Length Std,0.016090928207963
Fwd Packet Length Mean,0.014410828957771
Total Fwd Packets,0.0140812074249694
Subflow Fwd Packets,0.0139581555156154
Flow IAT Min,0.013670317353949
Fwd Packets Length Total,0.0131929337514912
Fwd Header Length,0.013125280452719
Active Min,0.0116264851177866
Bwd IAT Max,0.0104871646633074
Packet Length Min,0.0101032440395295
Bwd IAT Total,0.0098252145479586
Bwd IAT Min,0.0093441112163512
PSH Flag Count,0.0092462509194487
Idle Mean,0.0091192636399152
Bwd IAT Std,0.0089733151501803
Bwd IAT Mean,0.0086186095379578
Idle Min,0.0085967918305321
Flow Bytes/s,0.0070550607874769
Idle Max,0.0062733337272455
Active Mean,0.00608220081761
SYN Flag Count,0.0055527560607892
ACK Flag Count,0.0053195077516652
Fwd Packet Length Min,0.0045811861371177
Fwd PSH Flags,0.0041529951406825
Bwd Packet Length Min,0.0041379738690393
URG Flag Count,0.0026591439370748
Protocol,0.0023391791295513
Idle Std,0.001790283451356
Down/Up Ratio,0.001662944517972
Active Max,0.0013812766475637
FIN Flag Count,0.0005360896520308
Active Std,0.0004449587520851
CWE Flag Count,2.389737033909784e-08
Fwd URG Flags,1.009174523235096e-08
RST Flag Count,2.0554022991831373e-09
ECE Flag Count,5.353487078120974e-18
